#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,145,512,638,149,76,25,1,47,108,112,114,10,157,6,5,1,9,3,0.29
2,Bobby Witt Jr.,KCR,151,598,659,174,103,37,6,28,100,92,48,6,113,7,6,1,34,9,0.291
3,Shohei Ohtani,LAD,149,559,660,158,80,27,5,46,121,109,92,10,159,5,4,1,24,7,0.283
4,Juan Soto,NYM,155,544,678,149,84,25,1,39,109,99,125,9,122,4,4,1,21,5,0.273
5,Gunnar Henderson,BAL,152,582,660,157,93,33,4,26,97,82,67,4,140,6,4,1,24,5,0.27
6,Julio Rodríguez,SEA,152,600,660,163,102,28,3,30,95,91,47,4,146,9,3,0,28,6,0.271
7,Cal Raleigh,SEA,149,534,619,122,60,22,0,39,85,100,75,9,167,6,4,1,8,2,0.229
8,José Ramírez,CLE,151,575,649,157,93,33,3,28,92,89,64,10,74,4,6,0,33,8,0.273
9,Fernando Tatis Jr.,SDP,149,567,648,153,94,28,2,29,99,80,71,3,128,6,3,1,26,6,0.27
10,Ketel Marte,ARI,140,532,612,147,86,29,2,28,88,85,67,5,99,7,5,1,5,2,0.275
11,Ronald Acuña Jr.,ATL,144,533,629,149,94,25,2,28,105,77,86,4,134,7,3,1,25,7,0.28
12,Kyle Tucker,LAD,143,528,620,142,82,28,2,30,94,88,85,6,92,3,4,1,23,5,0.269
13,Francisco Lindor,NYM,142,555,628,143,89,28,1,25,92,77,56,1,115,11,5,1,23,5,0.258
14,Corey Seager,TEX,123,459,526,125,75,24,0,26,71,76,59,9,98,4,4,0,2,1,0.273
15,Vladimir Guerrero Jr.,TOR,153,577,663,170,109,32,0,29,94,95,75,8,91,6,4,0,5,2,0.294
16,Corbin Carroll,ARI,139,527,606,136,73,26,10,26,97,77,64,3,128,8,5,2,32,7,0.257
17,William Contreras,MIL,144,523,600,139,92,27,1,19,77,77,69,3,116,4,4,0,6,2,0.266
18,Trea Turner,PHI,143,577,627,163,112,29,4,18,89,71,40,1,113,5,3,1,28,5,0.283
19,Will Smith,LAD,124,426,497,111,69,21,1,20,69,68,58,3,97,8,6,0,2,1,0.262
20,Mookie Betts,LAD,143,545,622,146,93,30,2,21,88,81,66,2,72,4,6,1,9,2,0.268
21,Junior Caminero,TBR,149,584,636,157,93,27,1,37,84,104,43,2,124,4,5,0,6,2,0.269
22,Zach Neto,LAA,148,567,634,142,84,30,1,27,86,75,44,3,155,16,4,3,27,8,0.251
23,Elly De La Cruz,CIN,149,572,640,148,89,30,5,23,92,78,61,6,172,3,3,1,41,10,0.258
24,Yordan Alvarez,HOU,131,475,559,138,80,28,1,29,78,86,70,10,94,7,7,0,3,1,0.291
25,Geraldo Perdomo,ARI,151,550,649,144,100,28,4,13,88,67,76,1,87,8,6,9,20,5,0.263
26,Jackson Merrill,SDP,143,556,606,150,93,31,4,22,77,82,40,2,119,4,5,2,8,3,0.269
27,Wyatt Langford,TEX,143,532,613,133,79,28,2,24,84,74,72,3,144,5,4,1,23,5,0.251
28,Pete Crow-Armstrong,CHC,147,562,619,138,82,28,5,23,84,78,35,2,150,8,6,8,33,8,0.246
29,Jeremy Peña,HOU,137,539,590,147,102,27,2,16,76,65,35,1,105,11,4,2,17,4,0.273
30,Shea Langeliers,ATH,128,478,525,121,66,25,1,29,69,76,39,1,119,4,4,1,5,2,0.253
31,Alex Bregman,CHC,149,563,641,143,91,28,1,23,81,79,66,2,90,8,5,1,2,1,0.254
32,Bryce Harper,PHI,140,523,607,142,84,32,1,26,82,84,74,8,129,5,4,0,9,3,0.272
33,Alejandro Kirk,TOR,122,428,484,114,79,20,0,15,52,63,47,2,60,4,5,0,1,0,0.267
34,Matt Chapman,SFG,145,533,614,127,74,28,2,23,81,72,70,1,151,7,4,0,9,3,0.238
35,Maikel Garcia,KCR,150,576,640,155,107,31,4,12,83,65,53,0,95,2,5,3,26,7,0.268
36,Adley Rutschman,BAL,138,492,559,124,80,25,1,17,64,64,60,2,89,3,4,0,1,0,0.251
37,Willy Adames,SFG,152,570,649,132,78,26,1,26,83,83,70,2,164,4,5,0,12,3,0.231
38,Gabriel Moreno,ARI,109,378,425,104,73,20,1,10,51,52,40,2,73,3,3,0,4,2,0.276
39,Jacob Wilson,ATH,137,531,575,156,114,30,1,11,71,64,31,1,51,7,3,2,6,2,0.294
40,Byron Buxton,MIN,122,471,525,117,62,25,4,27,78,73,41,3,142,8,4,1,15,2,0.249
41,Dansby Swanson,CHC,153,569,630,137,89,25,2,22,78,75,53,1,159,3,4,1,16,4,0.242
42,Nick Kurtz,ATH,143,517,579,135,70,26,2,38,94,95,55,4,178,4,4,1,3,1,0.261
43,Bo Bichette,NYM,138,556,602,159,110,30,2,17,74,76,38,1,98,3,4,1,6,2,0.286
44,Austin Riley,ATL,148,575,633,148,89,29,2,28,82,86,47,1,165,7,4,0,2,1,0.258
45,Freddie Freeman,LAD,143,540,618,150,93,33,2,22,84,84,65,8,115,8,5,0,8,2,0.278
46,Brendan Donovan,SEA,133,506,569,135,94,27,1,13,66,58,49,2,79,9,4,2,5,2,0.268
47,Jazz Chisholm Jr.,NYY,140,519,585,124,74,19,2,28,80,77,56,2,155,5,4,1,32,8,0.238
48,Roman Anthony,BOS,141,525,610,139,87,31,3,19,85,68,75,1,153,5,4,1,11,3,0.266
49,Riley Greene,DET,148,565,630,145,87,27,3,28,82,89,56,2,176,5,4,0,4,1,0.257
50,Manny Machado,SDP,147,571,629,150,96,27,0,26,79,89,51,4,122,2,4,0,9,3,0.263
51,Brice Turang,MIL,149,566,633,146,103,25,3,15,81,67,58,1,132,2,4,3,29,6,0.257
52,Steven Kwan,CLE,146,570,638,155,117,26,3,9,79,54,57,1,58,4,4,3,17,5,0.272
53,Pete Alonso,BAL,153,576,655,145,80,28,1,36,85,103,60,4,150,13,6,0,2,1,0.252
54,Kyle Schwarber,PHI,150,549,657,126,64,20,1,41,97,104,97,4,185,7,4,1,6,2,0.23
55,Matt Olson,ATL,154,576,665,142,82,30,1,29,87,93,79,4,160,5,4,0,1,0,0.247
56,Nico Hoerner,CHC,146,556,608,155,118,27,3,7,74,56,39,1,57,9,4,1,26,6,0.278
57,Andy Pages,LAD,140,525,574,134,82,28,2,22,73,76,35,1,127,8,5,1,10,4,0.256
58,Masyn Winn,STL,144,559,612,140,96,28,2,13,73,60,41,0,111,5,4,3,14,4,0.251
59,Yainer Diaz,HOU,130,486,516,131,86,24,1,20,58,67,22,1,89,3,4,1,1,0,0.269
60,Rafael Devers,SFG,150,557,651,140,81,28,1,30,87,91,83,10,160,6,4,0,2,1,0.251
61,Gleyber Torres,DET,147,550,631,142,98,26,1,17,78,68,70,0,109,4,5,1,5,2,0.257
62,Carlos Correa,HOU,129,490,546,129,89,24,1,16,64,63,49,2,108,3,4,0,0,0,0.264
63,Brent Rooker,ATH,150,568,639,150,85,31,2,32,86,95,60,3,162,6,4,0,6,2,0.264
64,Jackson Chourio,MIL,145,580,629,156,95,34,4,23,87,84,39,2,127,4,5,1,24,7,0.269
65,Xander Bogaerts,SDP,137,512,569,135,96,25,1,13,67,60,46,2,100,4,6,1,16,4,0.265
66,CJ Abrams,WSN,141,557,614,138,87,29,4,18,81,64,39,2,119,13,4,2,30,7,0.248
67,Kevin McGonigle,DET,108,394,447,100,62,22,3,14,56,52,45,1,65,2,4,2,10,3,0.254
68,Luke Keaschall,MIN,126,470,534,125,86,27,2,11,68,57,49,1,92,10,5,0,24,6,0.267
69,Michael Harris II,ATL,139,538,574,143,93,27,3,20,69,71,25,2,112,4,4,2,18,5,0.265
70,J.T. Realmuto,PHI,121,432,474,109,72,21,2,14,55,54,31,1,114,7,3,1,7,2,0.253
71,James Wood,WSN,146,549,630,142,85,31,2,24,83,81,73,5,186,3,3,1,16,6,0.258
72,Michael Busch,CHC,141,519,591,129,72,26,3,29,79,80,60,2,148,8,3,1,4,1,0.249
73,Oneil Cruz,PIT,128,474,538,112,65,22,3,22,71,65,56,3,161,4,4,1,28,6,0.237
74,J.P. Crawford,SEA,139,500,578,121,85,23,1,11,64,53,66,1,112,5,3,4,5,1,0.241
75,Taylor Ward,BAL,148,553,630,134,79,26,2,27,80,83,65,0,154,6,6,1,5,2,0.242
76,Drake Baldwin,ATL,133,480,535,124,80,22,1,21,64,76,48,1,94,4,3,1,1,0,0.259
77,Jose Altuve,HOU,138,540,600,142,95,25,1,20,78,68,50,2,103,5,4,1,12,4,0.262
78,Cody Bellinger,NYY,138,533,592,137,88,24,3,22,77,79,49,3,89,3,7,0,11,3,0.257
79,Marcus Semien,NYM,137,516,577,124,81,22,2,18,73,67,52,1,95,4,4,1,9,2,0.24
80,Tyler Soderstrom,ATH,140,525,585,134,81,27,1,24,72,78,50,2,138,6,4,0,5,2,0.256
81,Ian Happ,CHC,144,538,626,129,77,29,1,21,80,75,78,2,147,4,4,1,8,2,0.24
82,Brandon Nimmo,TEX,143,542,614,136,87,25,3,21,78,72,58,1,135,9,4,1,9,2,0.25
83,Ben Rice,NYY,132,475,541,118,66,23,2,27,74,75,54,0,114,8,4,0,4,2,0.247
84,Mike Trout,LAA,118,424,502,99,57,17,2,24,66,64,68,6,150,6,4,0,3,1,0.234
85,Max Muncy,LAD,109,369,444,82,45,15,1,21,59,62,65,2,109,6,4,0,3,1,0.222
86,George Springer,TOR,131,500,568,130,81,22,2,24,82,71,58,1,110,7,4,1,14,3,0.26
87,Yandy Díaz,TBR,142,548,616,157,110,27,1,19,73,73,57,2,92,6,4,1,2,1,0.287
88,Bryson Stott,PHI,136,497,555,127,89,23,3,13,66,58,48,1,92,3,5,2,23,5,0.255
89,Xavier Edwards,MIA,133,514,572,143,113,22,4,4,68,44,47,1,83,3,4,4,27,6,0.278
90,Dillon Dingler,DET,110,382,417,92,60,19,2,12,45,49,26,1,105,6,2,1,1,1,0.242
91,Ezequiel Tovar,COL,147,581,626,152,95,34,4,20,76,71,30,0,156,4,5,5,8,3,0.261
92,Kazuma Okamoto,TOR,126,463,523,113,67,23,0,22,62,71,48,3,97,7,4,1,2,1,0.243
93,Isaac Paredes,HOU,116,423,492,102,63,18,1,20,60,62,55,0,83,10,3,0,1,1,0.241
94,Trent Grisham,NYY,124,443,519,97,56,17,1,23,70,62,66,0,130,5,3,2,5,2,0.22
95,Seiya Suzuki,CHC,133,503,573,128,76,25,3,24,73,80,61,2,144,3,5,0,7,3,0.255
96,Bo Naylor,CLE,120,392,446,85,49,18,1,17,50,51,46,1,111,2,3,2,4,2,0.218
