#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,101,349,435,102,51,17,1,33,76,80,79,9,108,4,3,0,7,2,0.293
2,Bobby Witt Jr.,KCR,103,401,444,117,70,25,4,18,66,61,35,4,76,4,4,1,23,6,0.292
3,Juan Soto,NYM,102,352,440,97,55,16,1,25,70,64,82,6,78,2,3,1,13,3,0.276
4,Gunnar Henderson,BAL,101,385,436,102,60,21,3,18,64,55,44,2,97,4,3,0,16,3,0.265
5,Julio Rodríguez,SEA,103,403,445,110,70,19,2,19,63,61,33,3,97,6,2,0,18,4,0.272
6,Shohei Ohtani,LAD,102,369,440,102,53,18,3,29,79,70,64,8,106,4,2,1,15,4,0.277
7,Fernando Tatis Jr.,SDP,104,391,448,105,66,19,2,18,66,54,49,3,91,4,3,1,19,4,0.268
8,José Ramírez,CLE,101,384,436,103,61,22,2,19,62,59,46,9,51,3,3,0,24,6,0.269
9,Elly De La Cruz,CIN,103,394,444,103,62,20,3,18,66,58,44,3,119,2,2,1,27,7,0.261
10,Yordan Alvarez,HOU,90,332,391,99,56,20,1,23,57,63,50,7,63,5,4,0,2,1,0.298
11,Corbin Carroll,ARI,98,368,425,94,51,19,7,17,68,54,47,1,92,5,3,1,21,4,0.256
12,William Contreras,MIL,101,353,405,96,64,18,1,12,52,53,47,3,72,2,3,0,3,1,0.271
13,Kyle Tucker,LAD,99,362,426,95,56,19,1,19,64,59,58,3,67,2,3,1,15,3,0.263
14,Junior Caminero,TBR,105,412,452,110,65,18,1,26,60,73,34,2,87,3,3,0,4,1,0.268
15,Trea Turner,PHI,99,390,426,109,75,20,2,12,60,47,29,0,78,3,2,1,17,3,0.279
16,Ronald Acuña Jr.,ATL,96,348,413,96,61,17,2,17,66,48,57,3,87,5,2,1,17,5,0.276
17,Ketel Marte,ARI,94,356,407,97,58,19,2,18,58,56,44,3,67,4,3,0,3,1,0.272
18,Mookie Betts,LAD,95,360,412,96,61,19,2,14,60,54,46,1,48,3,3,1,6,2,0.267
19,Kevin McGonigle,DET,101,383,436,100,63,22,4,11,58,49,46,0,64,2,3,1,9,2,0.261
20,Geraldo Perdomo,ARI,102,370,439,97,67,18,3,8,59,43,55,1,57,5,4,6,15,4,0.262
