#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
1,Tarik Skubal,DET,14,7,2.72,29,29,0,0,0,188,737,145,62,57,18,38,1,6,228
2,Paul Skenes,PIT,12,8,2.75,30,30,0,0,0,185,736,146,62,57,15,46,1,6,221
3,Garrett Crochet,BOS,14,8,3.05,29,29,0,0,1,183,733,148,67,62,20,47,2,5,224
4,Logan Webb,SFG,13,10,3.29,30,30,0,0,0,195.1,806,188,78,71,15,44,1,6,187
5,Cristopher Sánchez,PHI,12,8,3.19,29,29,0,0,0,188,768,170,72,67,16,46,2,6,183
6,Chris Sale,ATL,11,6,3.18,26,26,0,0,0,157,637,130,60,55,17,41,1,9,193
7,Yoshinobu Yamamoto,LAD,12,7,3.25,26,26,0,0,0,161,654,132,63,58,16,47,1,5,175
8,Cole Ragans,KCR,10,8,3.43,26,26,0,0,0,155.2,638,125,65,59,17,55,2,5,193
9,Jesús Luzardo,PHI,12,9,3.64,29,29,0,0,0,176,723,151,77,71,22,54,1,5,194
10,Max Fried,NYY,14,8,3.32,29,29,0,0,0,180.1,743,159,72,66,17,53,1,7,171
11,Framber Valdez,DET,13,10,3.49,29,29,0,0,0,185,774,166,78,72,16,61,1,8,173
12,Dylan Cease,TOR,11,9,3.7,29,29,0,0,0,169,703,142,76,69,21,64,1,5,200
13,Hunter Brown,HOU,12,9,3.49,29,29,0,0,0,179,739,153,75,69,20,58,1,7,194
14,Sonny Gray,BOS,12,9,3.81,28,28,0,0,0,168,693,156,77,71,21,44,1,5,177
15,Jacob deGrom,TEX,10,7,3.44,26,26,0,0,0,158,631,131,66,60,22,36,1,4,178
16,Bryan Woo,SEA,13,8,3.41,29,29,0,0,0,183.1,734,152,76,69,24,38,1,7,185
17,Logan Gilbert,SEA,11,8,3.43,28,28,0,0,0,167.2,670,138,69,64,22,37,1,6,188
18,Ranger Suarez,BOS,11,9,3.68,27,27,0,0,0,164.2,690,158,73,67,17,47,1,5,148
19,Joe Ryan,MIN,11,10,3.82,28,28,0,0,0,168,683,147,78,71,25,39,1,8,185
20,George Kirby,SEA,12,9,3.62,28,28,0,0,0,166,673,152,73,67,20,31,1,7,162
21,Kevin Gausman,TOR,11,10,3.91,29,29,0,0,0,178.1,737,163,84,78,24,51,1,4,175
22,Zack Wheeler,PHI,9,5,3.3,21,21,0,0,0,130,524,106,52,48,15,35,1,6,150
23,Kyle Bradish,BAL,8,7,3.61,25,25,0,0,0,140.1,580,121,61,56,16,45,1,6,151
24,Nathan Eovaldi,TEX,11,8,3.66,25,25,0,0,0,153.1,625,135,68,62,18,37,1,6,149
25,Freddy Peralta,NYM,12,9,3.76,29,29,0,0,0,164.2,683,136,75,69,22,61,1,8,184
26,Drew Rasmussen,TBR,10,8,3.62,28,28,0,0,0,152.2,625,137,67,61,17,39,1,5,140
27,Michael King,SDP,10,8,3.73,27,27,0,0,1,156.1,655,138,71,65,20,55,2,7,163
28,Chase Burns,CIN,7,7,3.59,28,22,0,0,0,124.2,512,106,54,50,17,39,1,3,147
29,José Soriano,LAA,10,10,3.77,29,29,0,0,0,171,733,153,78,71,15,73,1,9,159
30,Brandon Woodruff,MIL,10,7,3.74,24,24,0,0,0,141.2,577,121,64,59,20,38,0,6,150
31,Jack Flaherty,DET,10,10,4.05,28,28,0,0,0,159,668,144,78,72,22,55,1,7,175
32,Eury Pérez,MIA,9,9,3.9,27,27,0,0,0,144.1,593,120,68,63,20,48,1,5,161
33,MacKenzie Gore,TEX,10,10,3.91,28,28,0,0,0,158.1,667,140,75,69,20,60,1,7,178
34,Nick Pivetta,SDP,10,9,3.92,28,28,0,0,0,166.2,682,143,79,73,26,50,1,5,181
35,Kris Bubic,KCR,9,8,3.75,29,24,0,1,1,138,578,127,63,58,15,45,2,5,134
36,Matthew Boyd,CHC,11,9,3.89,27,27,0,0,0,159.1,662,146,75,69,21,45,1,7,146
37,Spencer Strider,ATL,11,9,3.95,26,26,0,0,0,156,651,135,74,68,21,56,1,7,181
38,Blake Snell,LAD,9,6,3.44,21,21,0,0,0,122,506,95,51,47,13,52,1,3,150
39,Sandy Alcantara,MIA,10,11,4.16,28,28,0,0,0,177,746,172,89,82,21,51,1,7,149
40,Aaron Nola,PHI,10,10,4.16,27,27,0,0,0,164.2,687,158,83,76,25,45,1,5,162
41,Shohei Ohtani,LAD,8,5,3.37,22,22,0,0,0,113.1,460,91,46,42,14,35,1,5,134
42,Tanner Bibee,CLE,11,10,3.99,29,29,0,0,0,174.2,729,161,84,77,24,52,1,8,164
43,Andrew Abbott,CIN,10,9,4.11,28,28,0,0,0,164.2,690,156,82,75,26,51,1,4,151
44,Nick Lodolo,CIN,9,8,4.02,27,27,0,0,0,152.2,641,142,74,68,22,39,1,13,155
45,Tyler Glasnow,LAD,8,6,3.69,22,22,0,0,0,129.1,532,104,58,53,16,48,0,3,151
46,Brady Singer,CIN,11,11,4.4,29,29,0,0,0,167,712,163,89,82,24,53,1,10,155
47,Nolan McLean,NYM,11,8,3.7,26,26,0,0,0,152.2,645,134,68,63,16,58,1,9,151
48,Mitch Keller,PIT,9,11,4.32,30,30,0,0,0,176.1,751,175,92,85,22,53,1,10,155
49,Trevor Rogers,BAL,9,8,4.03,26,26,0,0,0,152,641,145,74,68,18,49,1,5,132
50,David Peterson,NYM,9,7,3.95,28,28,0,0,0,160.2,690,155,77,71,16,62,2,7,143
51,Emmet Sheehan,LAD,9,6,3.91,33,23,0,0,0,133.2,548,111,63,58,19,43,1,5,152
52,Luis Castillo,SEA,11,10,3.9,28,28,0,0,0,172.1,713,157,81,75,24,48,1,6,160
53,Yusei Kikuchi,LAA,8,10,4.24,29,29,0,0,0,168,715,161,86,79,26,60,2,5,170
54,Merrill Kelly,ARI,10,8,4.07,26,26,0,0,0,158.1,661,150,78,72,21,47,1,4,143
55,Casey Mize,DET,9,9,4.12,26,26,0,0,0,145.2,613,144,73,67,20,39,1,5,127
56,Shane McClanahan,TBR,7,5,3.67,19,19,0,0,0,109.1,448,95,49,45,14,33,1,3,116
57,Clay Holmes,NYM,11,9,3.86,29,27,0,0,5,150.1,649,145,70,65,14,57,2,9,125
58,Cody Ponce,TOR,8,8,4.05,33,22,0,1,1,136.2,575,128,67,61,18,44,1,6,139
59,Michael Wacha,KCR,10,10,4.36,28,28,0,0,0,163.1,692,163,86,79,22,48,1,5,126
60,Braxton Ashcraft,PIT,7,7,3.85,36,22,0,1,1,133.1,566,130,62,57,14,42,2,6,120
61,Bubba Chandler,PIT,9,8,4.16,31,25,0,0,0,143.1,610,134,72,66,18,51,1,8,136
62,Ryan Pepiot,TBR,11,10,4.03,30,30,0,0,0,167,695,143,81,75,25,58,1,8,171
63,Robbie Ray,SFG,9,10,4.22,29,29,0,0,0,170,720,152,87,80,24,67,1,7,176
64,Shane Baz,BAL,9,9,4.15,28,28,0,0,0,157,661,144,79,72,22,53,1,8,155
65,Zac Gallen,ARI,12,10,4.2,29,29,0,0,0,175.2,740,167,89,82,23,57,1,6,166
66,Bailey Ober,MIN,8,9,4.41,27,27,0,0,0,158,656,153,84,77,27,37,1,6,143
67,Shota Imanaga,CHC,10,8,3.99,26,26,0,0,0,154.1,629,142,74,68,28,33,1,4,141
68,Gavin Williams,CLE,10,9,3.97,28,28,0,0,0,163,694,143,78,72,21,70,1,6,166
69,Edward Cabrera,CHC,9,7,3.98,24,24,0,0,0,135.1,570,116,65,60,16,53,1,7,144
70,Chris Bassitt,BAL,11,10,4.26,32,29,0,0,0,167.1,719,164,86,79,23,56,1,11,152
71,Jack Leiter,TEX,10,10,4.29,29,29,0,0,0,163.1,693,145,85,78,24,65,1,7,157
72,Reid Detmers,LAA,7,8,4.27,31,23,0,0,1,136.2,580,125,70,65,19,51,3,6,149
73,Cam Schlittler,NYY,8,8,3.91,24,24,0,0,0,131.2,557,117,62,57,16,50,1,6,131
74,Joe Musgrove,SDP,7,7,3.96,21,21,0,0,0,120.2,503,113,58,53,16,31,1,8,115
75,Brayan Bello,BOS,10,9,4.23,27,27,0,0,0,156,671,154,80,73,18,54,1,8,128
76,Carlos Rodón,NYY,11,8,4.04,24,24,0,0,0,140,584,120,68,63,20,51,1,6,148
77,Kodai Senga,NYM,9,7,3.94,30,23,0,0,0,134.2,573,117,64,59,16,58,1,6,140
78,Taj Bradley,MIN,7,8,4.4,30,24,0,0,0,139,591,133,74,68,20,49,1,4,135
79,Jacob Misiorowski,MIL,9,7,4.06,30,25,0,0,0,139,590,114,68,63,18,63,1,9,157
80,Foster Griffin,WSN,7,7,4.15,28,22,0,0,0,130,550,124,65,60,16,42,1,6,118
81,Shane Smith,CHW,8,9,4.11,28,28,0,0,0,157,666,140,78,72,21,58,1,10,154
82,Tyler Mahle,SFG,7,8,4.01,23,23,0,0,0,129.2,546,124,63,58,16,41,0,4,107
83,Tatsuya Imai,HOU,8,7,4.25,26,26,0,0,0,151,646,136,78,71,20,63,1,8,150
84,Michael McGreevy,STL,8,8,4.13,28,24,0,0,0,137.2,580,143,69,63,16,33,1,4,94
85,Gerrit Cole,NYY,7,5,3.96,19,19,0,0,0,112.2,466,101,54,50,16,34,1,4,114
86,Brandon Pfaadt,ARI,10,10,4.48,28,28,0,0,0,162.2,686,168,88,81,24,38,1,7,143
87,Trey Yesavage,TOR,7,5,3.83,25,20,0,0,0,108.1,454,90,50,46,13,45,1,4,121
88,Matthew Liberatore,STL,8,10,4.35,28,28,0,0,1,151.1,643,151,79,73,20,46,1,6,124
89,Sean Manaea,NYM,7,7,4.13,36,20,0,0,0,125.2,521,111,63,58,18,38,1,7,132
90,Cade Horton,CHC,9,7,3.91,23,23,0,0,0,128,535,116,60,56,16,40,1,5,111
91,Grayson Rodriguez,LAA,7,6,3.98,17,17,0,0,0,96.2,407,89,47,43,13,33,0,4,102
92,Cade Cavalli,WSN,7,8,4.23,24,24,0,0,0,135.1,585,135,69,64,16,48,1,8,114
93,Landen Roupp,SFG,7,7,4.07,27,23,0,0,0,120.2,519,115,59,55,13,48,1,4,112
94,Reynaldo López,ATL,8,7,3.95,29,23,0,1,2,130.1,550,122,62,57,16,45,1,4,128
95,Ryne Nelson,ARI,9,7,4.22,32,27,0,0,0,157.1,661,156,80,74,21,43,1,5,130
96,Jameson Taillon,CHC,10,9,4.38,25,25,0,0,0,145.2,607,145,77,71,24,34,1,4,113
97,Braxton Garrett,MIA,5,5,4.02,23,17,0,1,0,100.1,420,99,49,45,12,24,1,6,90
98,Dustin May,STL,8,10,4.3,29,24,0,0,0,142.2,611,133,74,68,18,53,2,9,128
