#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,SO%
1,Tarik Skubal,DET,8,3,2.56,17,17,,,,107,419,84,33,30,9,19,,3,129,0.308
2,Cristopher Sánchez,PHI,8,3,3,19,19,,,,119,488,106,43,40,9,27,,3,123,0.252
3,Paul Skenes,PIT,9,4,2.82,20,20,,,,112,450,90,38,35,10,28,,4,129,0.287
4,Logan Webb,SFG,9,5,3.23,19,19,,,,120,494,112,47,43,9,27,,4,113,0.229
5,Garrett Crochet,BOS,9,4,3.05,17,17,,,,100,412,86,37,34,11,28,,4,123,0.299
6,Yoshinobu Yamamoto,LAD,9,5,3.5,18,18,,,,110,440,87,46,43,12,27,,4,117,0.266
7,Max Fried,NYY,9,5,3.33,18,18,,,,108,445,94,43,40,8,32,,4,97,0.218
8,Dylan Cease,TOR,7,4,3.47,19,19,,,,104,436,84,44,40,11,41,,3,128,0.294
9,Bryan Woo,SEA,8,5,3.33,18,18,,,,105,420,87,42,39,12,21,,5,106,0.252
10,Jesús Luzardo,PHI,7,5,3.78,18,18,,,,106,442,95,48,45,12,32,,3,119,0.269
11,Joe Ryan,MIN,7,5,3.59,18,18,,,,99,403,85,43,40,12,23,,6,109,0.27
12,Kevin Gausman,TOR,7,5,3.65,18,18,,,,105,438,99,46,43,13,27,,1,102,0.233
13,Ranger Suarez,BOS,7,5,3.52,18,18,,,,100,426,98,43,39,9,30,,3,90,0.211
14,Jacob Misiorowski,MIL,7,4,3.34,18,17,,,,87,357,64,35,32,9,33,,7,115,0.322
15,Cam Schlittler,NYY,7,4,3.54,18,17,,,,90,373,78,38,35,9,28,,3,96,0.257
16,Chris Sale,ATL,7,3,3.19,15,14,,,,85,347,73,33,30,9,23,,6,102,0.294
17,Hunter Brown,HOU,7,3,3.03,15,14,,,,85,351,69,31,29,7,29,,3,94,0.268
18,George Kirby,SEA,7,5,3.73,18,18,,,,100,410,95,45,41,11,20,,4,93,0.227
19,Shane McClanahan,TBR,6,4,3.19,15,15,,,,79,324,67,30,28,8,23,,1,82,0.253
20,MacKenzie Gore,TEX,6,6,4.08,19,19,,,,100,426,88,49,45,11,40,,5,113,0.265
21,Andrew Abbott,CIN,5,6,4.27,20,20,,,,106,456,106,55,50,14,34,,2,91,0.2
22,Chase Burns,CIN,5,4,3.91,18,15,,,,75,313,67,35,33,10,22,,0,89,0.284
23,Sonny Gray,BOS,7,5,3.83,17,17,,,,95,404,94,44,41,11,27,,4,95,0.235
24,Logan Gilbert,SEA,6,4,3.61,19,19,,,,104,424,89,45,42,14,26,,4,111,0.262
25,Framber Valdez,DET,7,6,3.82,18,18,,,,110,466,102,51,47,10,38,,6,95,0.204
26,Jacob deGrom,TEX,6,5,3.73,17,17,,,,94,380,79,42,39,15,22,,1,104,0.274
27,Nick Martinez,TBR,7,6,3.82,25,15,,,,97,410,98,45,41,9,25,,3,70,0.171
28,Freddy Peralta,NYM,7,6,3.96,20,20,,,,105,441,88,50,46,13,41,,4,113,0.256
29,Zack Wheeler,PHI,5,3,3.53,13,13,,,,79,326,69,34,31,9,21,,3,81,0.248
30,Braxton Ashcraft,PIT,5,4,3.46,20,13,,,,80,334,76,33,31,8,21,,4,79,0.237
31,José Soriano,LAA,6,6,4.07,19,16,,,,95,409,84,47,43,8,42,,6,95,0.232
32,Drew Rasmussen,TBR,5,4,3.67,19,19,,,,93,384,84,41,38,11,23,,2,82,0.214
33,David Peterson,NYM,5,5,3.99,18,16,,,,95,411,92,46,42,7,37,,5,87,0.212
34,Sandy Alcantara,MIA,6,6,4.23,17,17,,,,107,447,102,54,50,12,29,,5,84,0.188
35,Reid Detmers,LAA,5,5,4.09,24,13,,,,80,337,70,40,37,9,27,,4,92,0.273
36,Davis Martin,CHW,5,5,3.92,17,16,,,,87,366,82,41,38,9,26,,4,76,0.208
37,Gavin Williams,CLE,7,5,3.54,18,18,,,,100,420,85,43,39,12,38,,4,107,0.255
38,Mitch Keller,PIT,6,6,3.96,19,19,,,,103,441,103,49,46,11,32,,6,89,0.202
39,Aaron Nola,PHI,5,6,4.41,16,16,,,,92,385,89,49,45,14,24,,2,91,0.236
40,Taj Bradley,MIN,5,5,4.14,17,17,,,,93,397,87,47,43,12,33,,3,92,0.232
41,Michael Wacha,KCR,6,6,4.24,17,17,,,,99,421,96,51,47,12,31,,3,82,0.195
42,Will Warren,NYY,5,5,4.27,18,18,,,,93,394,86,48,44,12,32,,3,94,0.239
43,Clay Holmes,NYM,7,5,3.84,17,15,,,,86,373,87,40,37,7,30,,4,73,0.196
44,Jack Leiter,TEX,6,6,4.11,18,18,,,,100,420,84,49,45,12,39,,4,98,0.233
45,Kris Bubic,KCR,5,4,3.74,15,13,,,,71,305,66,32,29,6,28,,2,72,0.236
46,Trey Yesavage,TOR,3,2,3.69,16,15,,,,67,282,54,30,27,6,29,,1,72,0.255
47,Casey Mize,DET,5,4,3.89,16,16,,,,78,332,76,37,34,9,23,,3,73,0.22
48,Tanner Bibee,CLE,6,6,3.98,18,18,,,,105,440,99,50,46,15,30,,4,97,0.22
49,Spencer Strider,ATL,6,5,4.09,15,14,,,,78,330,68,39,36,11,28,,3,97,0.294
50,Nick Pivetta,SDP,5,4,3.83,16,15,,,,85,350,72,39,36,13,26,,2,93,0.266
51,Payton Tolle,BOS,3,3,3.93,17,13,,,,67,279,61,32,29,9,19,,3,73,0.262
52,Shohei Ohtani,LAD,5,2,3.19,11,11,,,,59,242,43,23,21,6,22,,4,71,0.293
53,Kyle Bradish,BAL,4,3,3.83,14,14,,,,73,309,65,34,31,7,28,,3,75,0.243
54,Ben Brown,CHC,4,3,3.69,18,9,,,,67,279,59,30,27,6,22,,2,72,0.258
55,Tyler Glasnow,LAD,3,2,3.78,13,13,,,,66,274,53,30,28,9,24,,1,80,0.292
56,Kyle Harrison,MIL,4,3,3.91,18,16,,,,78,327,67,37,34,10,28,,5,87,0.266
57,Parker Messick,CLE,5,4,3.79,17,17,,,,84,357,79,39,36,10,28,,4,84,0.235
58,Bryce Elder,ATL,6,6,4.22,18,18,,,,100,427,97,51,47,11,33,,4,85,0.199
59,Cole Ragans,KCR,4,4,4.26,14,13,,,,70,298,60,36,33,10,29,,2,88,0.295
60,Matthew Boyd,CHC,5,4,3.88,14,14,,,,77,323,72,36,33,10,22,,3,73,0.226
61,Nolan McLean,NYM,6,5,3.95,18,17,,,,96,406,84,46,42,11,37,,9,100,0.246
62,Jack Flaherty,DET,6,6,4.38,18,17,,,,89,383,81,47,43,12,37,,5,100,0.261
63,Brandon Woodruff,MIL,4,3,3.83,13,13,,,,62,255,55,29,26,8,16,,2,64,0.251
64,Michael King,SDP,6,5,3.8,16,16,,,,84,360,76,39,36,10,34,,5,88,0.244
