#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Bobby Witt Jr.,KCR,103,393,437,119,68,21,7,23,76,68,35,4,72,4,4,1,23,6,0.303
2,Aaron Judge,NYY,101,352,436,103,49,18,0,36,77,88,76,13,110,4,3,0,7,3,0.294
3,Juan Soto,NYM,102,353,436,99,54,17,0,27,73,71,78,6,77,3,3,1,11,4,0.28
4,Shohei Ohtani,LAD,102,377,450,107,54,22,1,29,81,78,66,8,103,4,2,0,16,5,0.283
5,Yordan Alvarez,HOU,91,325,386,97,50,20,0,27,61,71,52,7,64,6,3,0,2,1,0.297
6,Fernando Tatis Jr.,SDP,104,381,438,104,65,19,3,17,67,55,49,2,86,4,3,1,19,6,0.274
7,Gunnar Henderson,BAL,102,388,438,103,61,22,2,18,65,57,42,2,97,4,3,0,13,3,0.266
8,Corbin Carroll,ARI,98,359,417,93,51,21,4,17,66,55,48,2,85,5,3,2,21,4,0.26
9,Pete Crow-Armstrong,CHC,100,384,427,96,57,20,3,17,63,52,29,2,102,6,3,5,24,4,0.251
10,Cal Raleigh,SEA,80,277,321,61,30,11,0,20,42,53,39,3,91,3,2,0,4,1,0.22
11,José Ramírez,CLE,101,379,433,102,62,21,2,18,62,58,46,9,49,3,4,0,24,7,0.268
12,William Contreras,MIL,101,347,398,94,63,18,0,13,49,55,45,2,68,3,3,1,3,1,0.272
13,Shea Langeliers,ATH,90,323,359,89,48,18,2,22,54,60,29,1,73,3,3,1,3,1,0.275
14,Julio Rodríguez,SEA,103,403,446,111,70,19,3,19,64,61,34,3,95,6,3,0,15,4,0.276
15,Mike Trout,LAA,92,324,391,83,45,15,2,22,57,59,59,5,104,5,2,0,4,1,0.256
16,Byron Buxton,MIN,86,324,362,85,42,17,3,24,58,60,30,1,94,6,2,0,8,2,0.263
17,Dansby Swanson,CHC,103,389,440,99,61,19,2,17,60,58,40,1,104,3,3,1,10,3,0.254
18,Mookie Betts,LAD,95,368,421,99,61,21,1,15,59,56,44,1,49,4,4,1,6,2,0.27
19,Elly De La Cruz,CIN,103,389,436,101,61,20,2,17,66,53,41,3,120,2,3,1,24,7,0.26
20,Ketel Marte,ARI,94,349,400,96,57,20,1,17,55,62,43,2,61,4,3,0,3,1,0.275
21,Junior Caminero,TBR,105,400,443,108,62,17,1,28,60,79,36,2,78,3,4,0,3,1,0.27
22,Vladimir Guerrero Jr.,TOR,103,379,438,112,74,20,1,17,62,60,51,5,53,5,3,1,4,2,0.296
23,Nick Kurtz,ATH,96,347,415,91,49,18,1,23,65,65,62,4,120,3,2,0,4,1,0.262
