#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
1,Cristopher Sánchez,PHI,10,5,3.01,21,21,0,0,,124.2,506,110,45,42,8,31,0,3,125
2,Paul Skenes,PIT,8,7,3.48,21,21,0,0,,121.1,496,104,50,47,13,31,0,6,133
3,Jesús Luzardo,PHI,9,6,3.62,21,21,0,0,,126.2,529,111,55,51,12,41,0,9,134
4,Chris Sale,ATL,8,6,3.7,19,19,0,0,,115.2,481,102,51,48,12,33,0,7,134
5,Tarik Skubal,DET,7,5,3.17,16,16,0,0,,91,367,77,34,32,9,20,0,3,100
6,Jacob deGrom,TEX,8,5,3.34,19,19,0,0,,108,430,83,43,40,14,27,0,1,116
7,Garrett Crochet,BOS,7,5,3.63,17,17,0,0,,106,435,93,46,43,14,26,0,4,117
8,Logan Webb,SFG,7,7,3.95,20,20,0,0,,117,494,116,55,51,10,34,0,4,101
9,Dylan Cease,TOR,8,6,3.75,19,19,0,0,,113,475,90,50,47,14,48,0,5,139
10,Shohei Ohtani,LAD,8,4,3.3,16,16,0,0,,92.2,382,71,36,34,9,34,0,6,109
11,George Kirby,SEA,7,6,4.03,20,20,0,0,,112.1,468,110,54,50,14,26,0,4,105
12,Jacob Misiorowski,MIL,8,7,3.51,24,19,0,0,,108.2,454,80,45,42,14,47,0,7,149
13,Hunter Brown,HOU,8,5,3.62,18,18,0,0,,106.1,441,90,46,43,12,37,0,4,119
14,Gavin Williams,CLE,7,7,3.72,20,20,0,0,,118.1,493,100,52,49,14,44,0,3,130
15,Yoshinobu Yamamoto,LAD,8,4,3.44,17,17,0,0,,99.2,408,83,41,38,11,31,0,3,105
16,Nathan Eovaldi,TEX,8,6,3.44,19,19,0,0,,111.1,452,95,46,43,12,28,0,4,100
17,Joe Ryan,MIN,7,7,4.13,19,19,0,0,,108.1,449,96,53,50,17,29,0,5,115
18,Logan Gilbert,SEA,7,6,3.83,19,19,0,0,,105,429,90,48,45,15,27,0,4,114
19,Kevin Gausman,TOR,8,7,4.19,21,21,0,0,,116.2,487,106,58,54,17,36,0,2,118
20,José Soriano,LAA,8,7,3.59,20,20,0,0,,118.1,500,102,51,47,11,50,0,6,120
21,Landen Roupp,SFG,6,6,3.86,17,17,0,0,,97.2,416,88,45,42,8,41,0,4,97
22,Ranger Suarez,BOS,7,6,3.97,19,19,0,0,,111.1,467,107,53,49,13,33,0,3,96
23,Bryan Woo,SEA,7,6,4.05,20,20,0,0,,109.1,452,99,53,49,17,27,0,4,106
24,Drew Rasmussen,TBR,7,8,4.02,21,21,0,0,,116.1,484,106,56,52,15,34,0,4,105
25,Zack Wheeler,PHI,8,6,3.88,19,19,0,0,,106,443,91,49,46,14,36,0,5,105
26,Framber Valdez,DET,8,6,3.74,20,20,0,0,,115,485,105,52,48,10,39,0,8,96
27,Matthew Boyd,CHC,6,5,3.92,17,17,0,0,,93.2,391,81,44,41,13,32,0,4,98
28,Max Meyer,MIA,6,6,3.97,18,18,0,0,,97,407,87,46,43,11,33,0,4,99
29,Parker Messick,CLE,6,6,3.94,18,18,0,0,,102,430,92,48,45,13,33,0,6,100
30,Taj Bradley,MIN,6,6,4.11,17,17,0,0,,105,445,93,51,48,14,41,0,3,110
31,Shota Imanaga,CHC,8,6,3.81,19,19,0,0,,110.1,449,93,50,47,18,27,0,3,106
32,Chase Burns,CIN,6,6,3.84,21,16,0,0,,89.1,370,74,41,38,12,32,0,1,100
33,Hunter Greene,CIN,5,4,3.78,13,13,0,0,,75.2,312,62,34,32,11,24,0,3,93
34,MacKenzie Gore,TEX,6,6,4.13,17,17,0,0,,99,420,90,49,45,12,35,0,4,97
35,Nolan McLean,NYM,7,6,4.05,19,19,0,0,,108.1,463,99,52,49,13,39,0,9,110
36,Kyle Bradish,BAL,7,6,4.19,19,19,0,0,,107.1,460,100,53,50,13,43,0,4,107
37,Kyle Harrison,MIL,6,6,4.06,17,17,0,0,,94.2,396,83,46,43,15,29,0,4,108
38,Cam Schlittler,NYY,6,5,3.91,16,16,0,0,,89.1,374,78,42,39,12,31,0,2,97
39,Tanner Bibee,CLE,6,7,4.32,20,20,0,0,,113.1,479,106,58,54,17,37,0,4,104
40,Blake Snell,LAD,6,3,3.53,12,12,0,0,,71.1,295,56,30,28,8,29,0,2,82
41,Braxton Ashcraft,PIT,6,7,4.07,25,17,0,0,,88,372,83,43,40,10,28,0,4,84
42,Kris Bubic,KCR,6,5,3.97,20,15,0,0,,89,377,82,42,39,9,30,0,4,82
43,Reid Detmers,LAA,5,7,4.17,25,17,0,0,,88,371,80,44,41,13,27,1,4,98
44,Max Fried,NYY,6,4,3.7,14,14,0,0,,83.1,350,74,37,34,8,27,0,6,74
45,Tyler Glasnow,LAD,6,4,4,14,14,0,0,,82.2,346,70,39,37,11,32,0,1,96
46,Cole Ragans,KCR,6,5,4.06,15,15,0,0,,87.2,371,74,42,40,12,36,0,3,99
47,Cade Cavalli,WSN,5,7,4.34,18,18,0,0,,98.1,426,97,51,47,10,35,0,9,89
48,Sonny Gray,BOS,7,6,4.3,19,19,0,0,,103.1,436,99,53,49,15,30,0,3,94
49,Eury Pérez,MIA,5,6,4.36,17,17,0,0,,91,384,77,47,44,13,35,0,4,94
50,Shane McClanahan,TBR,5,7,4.08,19,19,0,0,,94,395,88,46,43,12,30,0,3,85
51,Michael King,SDP,7,7,4.36,19,19,0,0,,108.2,467,100,56,53,14,46,0,4,101
52,Michael Wacha,KCR,6,7,4.61,19,19,0,0,,107.2,461,107,59,55,16,34,0,4,84
53,Casey Mize,DET,6,7,4.22,19,19,0,0,,100,422,93,50,47,14,32,0,4,86
54,Will Warren,NYY,7,6,3.95,25,17,0,0,,87.2,369,78,41,39,12,30,0,3,91
55,Spencer Strider,ATL,6,6,4.59,18,18,0,0,,103,443,93,56,53,16,41,0,5,113
56,Luis Severino,ATH,6,7,4.7,19,19,0,0,,109.2,474,110,61,57,16,39,0,5,99
57,Jack Leiter,TEX,7,6,4.23,18,18,0,0,,103.1,437,91,52,49,15,39,0,4,96
58,Ryne Nelson,ARI,6,6,4.39,17,17,0,0,,93,393,90,48,45,13,27,0,2,75
59,Griffin Jax,TBR,5,5,3.69,25,13,0,0,,74,306,62,32,30,8,25,0,3,77
60,Sandy Alcantara,MIA,6,8,4.8,20,20,0,0,,120,515,122,68,64,16,37,0,5,89
61,Zac Gallen,ARI,7,7,4.3,20,20,0,0,,108,461,104,55,52,13,38,0,4,85
62,Trevor Rogers,BAL,7,6,4.52,18,18,0,0,,105.1,451,102,57,53,16,36,0,4,90
63,Bryce Miller,SEA,6,6,4.14,27,16,0,0,,87.1,366,78,43,40,13,28,1,3,82
64,Shane Baz,BAL,7,6,4.48,19,19,0,0,,112.1,484,104,60,56,16,47,0,5,104
65,Matthew Liberatore,STL,5,7,4.78,18,18,0,0,,99.2,431,103,57,53,13,32,0,5,80
