#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
1,Paul Skenes,PIT,8,6,3.17,21,21,0,0,,121.1,490,100,46,43,11,31,0,5,132
2,Cristopher Sánchez,PHI,10,5,3.19,21,21,0,0,,124.2,508,111,48,44,10,32,0,4,127
3,Tarik Skubal,DET,7,4,2.91,16,16,0,0,,91,360,71,32,29,9,20,0,3,107
4,Jesús Luzardo,PHI,9,6,3.74,21,21,0,0,,126.2,527,111,57,53,14,42,0,4,140
5,Chris Sale,ATL,8,6,3.71,19,19,0,0,,115.2,479,99,51,48,13,35,0,6,134
6,Dylan Cease,TOR,8,5,3.6,19,19,0,0,,113,471,90,48,45,13,46,0,4,144
7,Logan Webb,SFG,8,7,3.73,20,20,0,0,,117,488,114,52,49,9,32,0,4,99
8,Garrett Crochet,BOS,8,5,3.51,17,17,0,0,,106,433,91,45,41,13,29,0,4,119
9,Zack Wheeler,PHI,8,5,3.53,19,19,0,0,,106,433,87,45,42,13,32,0,5,115
10,Hunter Brown,HOU,8,5,3.47,18,18,0,0,,106.1,437,86,44,41,11,38,0,4,118
11,Jacob Misiorowski,MIL,8,7,3.46,24,19,0,0,,108.2,454,79,45,42,13,50,0,7,147
12,Drew Rasmussen,TBR,7,7,3.72,21,21,0,0,,116.1,476,102,51,48,13,32,0,4,104
13,Jacob deGrom,TEX,7,6,3.61,19,19,0,0,,108,434,86,46,43,15,29,0,3,118
14,Bryan Woo,SEA,8,6,3.7,20,20,0,0,,109.1,444,96,48,45,15,24,0,4,105
15,Joe Ryan,MIN,7,6,3.89,19,19,0,0,,108.1,442,92,50,47,16,27,0,5,116
16,George Kirby,SEA,7,6,3.99,20,20,0,0,,112.1,466,107,53,50,14,27,0,4,102
17,Shohei Ohtani,LAD,8,4,3.33,16,16,0,0,,92.2,379,71,37,34,11,33,0,4,109
18,Ranger Suarez,BOS,8,6,3.73,19,19,0,0,,111.1,463,102,50,46,12,33,0,4,98
19,Yoshinobu Yamamoto,LAD,8,4,3.56,17,17,0,0,,99.2,410,85,42,39,11,32,0,3,104
20,Logan Gilbert,SEA,7,6,3.95,19,19,0,0,,105,431,93,49,46,15,27,0,4,115
21,Landen Roupp,SFG,6,6,3.95,17,17,0,0,,97.2,416,90,46,43,9,39,0,4,93
22,Parker Messick,CLE,6,6,3.91,18,18,0,0,,102,428,93,48,44,13,33,0,5,104
23,Kevin Gausman,TOR,8,7,4.44,21,21,0,0,,116.2,492,111,61,58,17,36,0,3,113
24,Gavin Williams,CLE,7,7,3.98,20,20,0,0,,118.1,500,100,56,52,15,50,0,5,130
25,Nathan Eovaldi,TEX,8,6,3.78,19,19,0,0,,111.1,456,98,50,47,14,29,0,5,101
26,José Soriano,LAA,7,7,3.83,20,20,0,0,,118.1,505,106,54,50,11,51,0,6,114
27,Nolan McLean,NYM,7,6,3.9,19,19,0,0,,108.1,457,97,50,47,13,40,0,6,108
28,Matthew Boyd,CHC,6,5,3.83,17,17,0,0,,93.2,388,82,43,40,12,27,0,4,90
29,Framber Valdez,DET,7,7,3.93,20,20,0,0,,115,487,107,54,50,11,42,0,6,100
30,Spencer Strider,ATL,7,6,4.28,18,18,0,0,,103,437,91,52,49,15,40,0,4,120
31,Cole Ragans,KCR,6,5,3.83,15,15,0,0,,87.2,367,72,40,37,11,35,0,3,102
32,Michael King,SDP,7,6,4.01,19,19,0,0,,108.2,459,95,52,48,13,42,0,5,105
33,MacKenzie Gore,TEX,6,6,4.11,17,17,0,0,,99,420,88,48,45,12,39,0,4,104
34,Cam Schlittler,NYY,6,5,3.88,16,16,0,0,,89.1,374,77,41,38,11,32,0,4,97
35,Gerrit Cole,NYY,8,6,4.21,20,20,0,0,,111.2,466,101,56,52,17,34,0,4,107
36,Braxton Ashcraft,PIT,6,7,4.07,25,17,0,0,,88,371,83,43,40,10,27,0,4,85
37,Max Fried,NYY,6,4,3.48,14,14,0,0,,83.1,345,72,35,32,8,28,0,3,73
38,Michael Wacha,KCR,7,7,4.32,19,19,0,0,,107.2,455,102,55,52,15,34,0,4,86
39,Kyle Bradish,BAL,7,6,4.15,19,19,0,0,,107.1,458,98,53,50,13,43,0,5,104
40,Cade Cavalli,WSN,5,7,4.26,18,18,0,0,,98.1,421,95,50,46,11,35,0,6,89
41,Chase Burns,CIN,6,6,3.98,21,16,0,0,,89.1,370,75,42,39,13,31,0,3,99
42,Casey Mize,DET,6,7,4.17,19,19,0,0,,100,418,94,50,46,14,28,0,5,89
