#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,101,350,435,97,51,17,1,29,74,74,77,14,111,4,3,1,7,2,0.278
2,Bobby Witt Jr.,KCR,103,401,444,116,69,25,4,18,65,60,35,4,76,4,3,1,23,7,0.288
3,Juan Soto,NYM,102,351,440,96,55,15,1,24,70,65,83,7,76,2,3,1,14,4,0.273
4,Julio Rodríguez,SEA,103,403,445,108,68,19,1,19,61,61,33,3,96,6,3,1,15,4,0.269
5,Shohei Ohtani,LAD,102,367,440,101,53,18,3,27,79,69,64,11,105,4,3,1,15,4,0.275
6,Elly De La Cruz,CIN,103,395,444,105,62,22,4,18,65,60,43,3,118,3,3,1,24,7,0.265
7,Gunnar Henderson,BAL,101,386,436,100,59,20,3,18,62,55,42,2,98,4,3,1,14,4,0.259
8,Yordan Alvarez,HOU,90,330,391,97,55,19,1,23,58,61,53,9,67,5,3,0,2,1,0.295
9,Fernando Tatis Jr.,SDP,104,389,448,104,68,19,1,16,65,52,51,3,89,4,3,1,20,6,0.268
10,Corbin Carroll,ARI,98,367,425,95,52,18,9,16,67,56,49,2,92,6,3,1,20,4,0.259
11,José Ramírez,CLE,101,382,436,101,60,22,1,18,60,58,48,11,53,3,3,0,23,5,0.265
12,William Contreras,MIL,101,353,405,97,66,19,0,12,53,52,47,3,71,2,3,0,4,1,0.276
13,Junior Caminero,TBR,105,409,452,110,65,18,1,26,62,73,37,2,83,2,3,1,4,1,0.268
14,Kevin McGonigle,DET,101,377,436,99,63,22,4,10,60,48,51,0,58,3,2,1,10,3,0.264
15,Pete Crow-Armstrong,CHC,99,387,426,96,58,18,4,16,58,56,27,1,104,7,3,3,22,6,0.247
16,Ketel Marte,ARI,94,357,407,98,59,20,2,17,60,53,42,3,66,4,2,1,3,1,0.274
17,Geraldo Perdomo,ARI,102,370,439,96,66,18,3,8,57,46,57,1,58,5,4,4,15,5,0.26
18,Ronald Acuña Jr.,ATL,96,344,413,94,60,16,2,16,68,48,60,2,86,5,3,1,19,5,0.274
