#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO
1,Cristopher Sánchez,PHI,9,5,2.97,21,21,133,543,118,48,44,10,32,4,137
2,Paul Skenes,PIT,9,5,2.88,21,21,120,486,97,42,39,11,31,5,142
3,Tarik Skubal,DET,7,3,2.66,16,16,96,379,76,31,28,8,19,3,115
4,Chris Sale,ATL,9,5,3.14,19,19,113,462,95,43,39,11,31,7,137
5,Garrett Crochet,BOS,8,4,3.08,17,17,100,407,84,37,34,10,28,4,122
6,Zack Wheeler,PHI,8,5,3.25,19,19,115,472,98,45,42,12,31,5,124
7,Logan Webb,SFG,9,6,3.32,20,20,125,520,120,51,46,10,31,4,115
8,Jesús Luzardo,PHI,8,6,3.6,21,21,123,510,107,53,49,14,38,4,137
9,Dylan Cease,TOR,7,5,3.4,19,19,106,443,85,44,40,11,41,3,131
10,Kevin Gausman,TOR,8,7,3.77,21,21,124,519,117,56,52,15,34,2,121
11,Hunter Brown,HOU,7,5,3.27,18,18,104,433,87,41,38,10,36,4,116
12,Yoshinobu Yamamoto,LAD,8,5,3.49,17,17,103,419,87,43,40,11,28,3,107
13,Jacob deGrom,TEX,7,6,3.57,19,19,107,437,91,46,43,16,25,2,122
14,Bryan Woo,SEA,8,6,3.51,20,20,119,483,103,50,46,15,27,5,118
15,Joe Ryan,MIN,7,6,3.62,19,19,106,433,92,46,43,14,25,6,116
16,Shane McClanahan,TBR,7,5,3.35,19,19,103,425,88,42,38,11,33,3,110
17,Ranger Suarez,BOS,7,6,3.65,19,19,111,471,109,49,45,10,34,3,99
18,Gerrit Cole,NYY,7,6,3.9,20,20,123,514,111,58,53,17,36,4,120
19,Jacob Misiorowski,MIL,7,5,3.42,24,19,107,445,81,44,41,11,45,7,137
20,George Kirby,SEA,8,6,3.61,20,20,116,476,109,50,46,13,24,5,108
21,Sonny Gray,BOS,7,6,3.8,19,19,108,455,105,49,45,12,30,4,108
22,Drew Rasmussen,TBR,6,6,3.65,21,21,109,450,101,48,44,12,27,3,99
23,José Soriano,LAA,7,7,3.82,20,20,115,495,104,54,49,9,52,6,114
24,Framber Valdez,DET,8,7,3.68,20,20,123,520,115,55,50,11,43,6,109
25,Chase Burns,CIN,6,5,3.73,21,16,89,371,78,40,37,12,28,1,104
26,Shohei Ohtani,LAD,6,4,3.27,16,16,86,352,67,34,31,9,30,5,101
27,Logan Gilbert,SEA,6,5,3.53,19,19,107,436,92,45,42,14,27,4,114
28,Braxton Ashcraft,PIT,6,6,3.69,23,18,107,453,103,48,44,11,32,6,101
29,Reid Detmers,LAA,6,6,3.92,25,17,102,429,89,48,45,12,37,5,114
30,Aaron Nola,PHI,7,7,4.17,20,20,115,484,111,58,53,17,31,3,113
31,Nathan Eovaldi,TEX,7,7,3.84,19,19,115,478,107,53,49,15,30,5,110
32,Mason Miller,SDP,3,1,2.07,45,0,45,176,25,11,10,3,17,1,76
33,Kyle Bradish,BAL,6,5,3.8,19,19,103,437,93,47,44,11,39,4,108
34,Trey Yesavage,TOR,5,4,3.74,22,18,94,397,79,42,39,10,39,3,102
35,Max Fried,NYY,6,4,3.32,14,14,83,344,74,33,31,7,25,3,76
36,Casey Mize,DET,6,6,3.86,19,19,100,423,96,47,43,12,29,3,93
37,Cam Schlittler,NYY,6,5,3.59,16,16,87,363,76,38,35,9,29,3,91
38,Michael King,SDP,7,6,3.75,19,19,107,457,95,48,45,13,43,5,113
39,Spencer Strider,ATL,7,6,3.95,18,18,101,425,86,48,44,13,39,4,122
40,Freddy Peralta,NYM,7,7,3.9,20,20,111,468,94,52,48,14,44,5,120
41,Davis Martin,CHW,6,6,4,18,18,102,432,98,49,45,12,33,5,89
42,Gavin Williams,CLE,7,6,3.66,20,20,113,478,98,50,46,13,45,4,122
43,Sandy Alcantara,MIA,6,8,4.25,20,20,123,521,122,63,58,14,36,6,98
44,MacKenzie Gore,TEX,6,6,3.91,17,17,90,383,78,42,39,10,37,4,102
45,Nolan McLean,NYM,7,6,3.68,19,19,109,460,95,49,44,12,41,9,114
46,Carlos Rodón,NYY,8,7,4.01,20,20,111,474,97,54,50,14,44,5,118
47,Tyler Glasnow,LAD,5,3,3.62,14,14,75,309,60,33,30,9,28,1,90
48,Cole Ragans,KCR,5,5,3.84,15,15,78,328,65,36,33,10,32,2,97
49,Nick Martinez,TBR,7,7,4.18,24,19,114,486,117,57,53,13,31,4,83
50,Shane Bieber,TOR,6,5,3.73,24,15,94,393,91,42,39,11,23,3,87
51,Michael Wacha,KCR,6,7,4.33,19,19,111,475,111,58,54,15,35,4,92
52,Shota Imanaga,CHC,7,6,3.95,19,19,109,452,102,52,48,18,26,3,104
53,Mitch Keller,PIT,6,7,4.19,20,20,113,486,114,57,53,13,36,7,97
54,Max Meyer,MIA,5,5,3.86,18,18,95,401,88,44,41,11,34,4,94
55,Kris Bubic,KCR,6,5,3.82,20,15,87,374,82,40,37,9,35,3,88
56,Matthew Boyd,CHC,6,5,3.8,17,17,93,390,86,43,39,12,28,4,88
57,Foster Griffin,WSN,5,6,4.21,18,18,104,441,103,53,48,14,31,6,96
58,Andrew Abbott,CIN,5,6,4.49,19,19,108,464,108,58,54,16,37,3,93
59,Emmet Sheehan,LAD,5,4,3.98,21,15,84,349,71,40,37,12,29,4,94
60,Jared Jones,PIT,6,6,3.84,22,16,96,405,87,44,41,11,35,4,100
61,Parker Messick,CLE,6,6,3.77,18,18,97,410,90,44,41,12,33,5,96
62,Jhoan Duran,PHI,5,2,2.56,44,0,44,180,34,14,13,3,15,2,56
63,Tanner Bibee,CLE,7,7,4.03,20,20,114,480,108,55,51,16,35,5,106
64,Taj Bradley,MIN,5,5,4.11,17,17,92,393,86,46,42,12,34,3,92
65,Cade Cavalli,WSN,5,6,3.95,18,18,92,394,87,44,40,9,33,9,86
66,Cade Smith,CLE,4,2,2.68,45,0,45,181,34,15,13,3,13,2,59
67,Hunter Greene,CIN,4,4,3.94,13,13,73,306,61,34,32,11,27,4,87
68,Jack Flaherty,DET,6,6,4.15,18,18,94,403,84,47,43,12,38,5,104
69,Grant Taylor,CHW,3,2,3.14,53,1,56,234,46,21,20,5,20,1,67
70,Seth Lugo,KCR,6,7,4.23,19,19,112,483,112,57,53,14,38,4,95
71,Griffin Jax,TBR,5,4,3.55,25,13,71,298,61,31,28,7,26,2,82
72,Bailey Ober,MIN,6,7,4.37,19,19,107,451,106,56,52,17,27,4,92
73,Brandon Woodruff,MIL,5,4,3.92,14,14,74,306,66,35,32,10,20,3,76
74,Nick Lodolo,CIN,5,6,4.34,18,18,99,421,94,52,48,14,30,12,100
75,Landen Roupp,SFG,6,5,3.7,17,17,90,386,83,40,37,8,37,3,89
76,Trevor Rogers,BAL,6,6,4.22,18,18,95,407,94,48,45,12,33,3,80
77,Luis Severino,ATH,6,7,4.48,19,19,111,478,110,60,55,14,40,7,96
78,Kyle Harrison,MIL,5,5,4,17,17,90,383,80,43,40,12,35,5,98
79,Steven Matz,TBR,5,6,4.23,24,17,97,417,98,50,46,13,31,3,85
80,Will Warren,NYY,6,5,4.11,25,17,97,413,90,48,44,13,34,4,98
81,David Peterson,NYM,5,5,3.81,21,15,91,395,88,42,39,8,37,4,83
82,Grayson Rodriguez,LAA,4,5,4.1,15,15,78,332,72,39,36,10,29,3,81
83,Zebby Matthews,MIN,5,5,4.03,20,14,79,331,78,38,35,11,19,2,76
84,Jack Leiter,TEX,6,6,4.24,18,18,98,421,87,50,46,13,41,4,96
85,Shane Baz,BAL,6,7,4.33,19,19,105,449,99,54,50,14,40,5,101
86,Jeffrey Springs,ATH,6,7,4.52,19,19,106,458,107,58,53,17,35,3,92
87,Noah Cameron,KCR,6,6,4.17,18,18,99,423,98,50,46,13,33,3,84
88,Logan Henderson,MIL,6,5,3.98,24,14,81,338,71,38,36,12,26,3,86
89,Blake Snell,LAD,5,3,3.56,12,12,61,260,49,26,24,7,28,1,76
90,Eury Pérez,MIA,5,6,4.2,17,17,83,350,71,42,39,12,32,4,91
91,Dustin May,STL,7,7,4.07,26,17,108,458,101,53,49,12,37,8,95
92,Michael Soroka,ARI,7,5,3.92,23,16,94,399,86,44,41,10,32,7,92
93,Aroldis Chapman,BOS,3,2,2.87,41,0,41,171,30,14,13,3,19,1,58
94,Michael McGreevy,STL,6,7,4.05,24,18,108,460,113,53,49,13,27,3,78
95,Zac Gallen,ARI,8,7,4.14,20,20,116,498,114,58,53,15,38,4,103
96,Kumar Rocker,TEX,5,6,4.23,24,17,91,390,89,46,43,11,33,4,80
97,Bryce Elder,ATL,6,6,4.29,18,18,102,439,103,53,49,12,35,4,86
98,Payton Tolle,BOS,3,3,3.89,16,11,61,255,55,28,26,8,19,2,64
99,Bryce Miller,SEA,5,5,4.06,27,16,98,413,92,48,44,13,29,4,88
100,Luis Castillo,SEA,6,5,3.84,30,15,99,415,91,46,42,13,30,4,94
101,Brady Singer,CIN,6,8,4.75,19,19,103,446,105,59,54,16,33,6,93
102,Janson Junk,MIA,5,6,4.45,22,16,95,406,103,51,47,13,21,3,68
103,Sean Burke,CHW,5,7,4.52,18,18,100,435,96,54,50,15,42,5,92
104,Chris Bassitt,BAL,6,7,4.38,19,19,106,463,109,56,52,13,38,8,90
105,Ben Brown,CHC,5,4,3.68,36,8,77,322,68,34,31,8,27,3,83
106,Eduardo Rodriguez,ARI,6,6,4.21,22,17,101,437,102,51,47,13,37,2,87
107,Connelly Early,BOS,5,5,4.12,21,14,80,342,75,40,37,9,30,6,79
108,Merrill Kelly,ARI,6,6,4.21,18,18,106,456,107,54,50,14,35,2,89
109,Anthony Kay,CHW,4,6,4.54,16,16,90,393,92,49,45,12,36,6,71
110,Edward Cabrera,CHC,5,5,4.09,17,17,89,379,79,44,41,11,36,5,91
111,Ryan Weathers,NYY,5,4,3.96,27,12,78,330,71,37,34,10,27,3,80
112,J. T. Ginn,ATH,5,5,4.4,24,15,85,370,83,45,42,11,34,6,80
112,J T Ginn,ATH,5,5,4.4,24,15,85,370,83,45,42,11,34,6,80
113,Brayan Bello,BOS,6,6,4.46,17,17,95,413,98,51,47,11,35,5,77
114,Sean Manaea,NYM,4,5,4.19,31,12,89,375,80,45,41,12,31,6,91
115,Tatsuya Imai,HOU,4,5,4.29,15,15,77,332,71,40,37,10,33,3,80
116,Andre Pallante,STL,6,7,4.32,18,18,100,436,103,52,48,10,39,4,73
117,Matthew Liberatore,STL,5,6,4.3,18,18,99,427,98,51,47,13,34,4,85
118,Roki Sasaki,LAD,5,5,4.41,22,14,81,347,77,43,40,12,31,5,82
119,David Bednar,NYY,3,2,3.29,43,0,43,179,34,17,16,4,15,2,52
120,Bubba Chandler,PIT,5,6,4.35,25,16,89,388,83,46,43,11,41,5,85
121,Braxton Garrett,MIA,3,4,4.01,18,10,61,262,60,30,27,7,20,4,54
