#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,101,359,435,105,54,17,1,34,73,83,70,4,109,4,3,0,8,2,0.294
2,Bobby Witt Jr.,KCR,103,403,444,123,72,25,4,21,72,69,34,2,74,4,3,0,25,7,0.306
3,Juan Soto,NYM,102,359,440,102,59,17,1,25,71,69,76,4,73,2,3,0,13,4,0.285
4,Shohei Ohtani,LAD,102,375,440,107,54,19,4,31,79,77,58,4,105,4,3,0,16,4,0.286
5,Gunnar Henderson,BAL,101,386,436,105,61,22,4,18,68,63,43,2,100,4,3,0,14,3,0.273
6,Fernando Tatis Jr.,SDP,104,395,448,107,66,20,1,20,61,60,46,2,92,4,3,0,20,5,0.27
7,Julio Rodríguez,SEA,103,403,445,111,71,20,2,18,60,62,33,2,96,6,3,0,17,4,0.276
8,Yordan Alvarez,HOU,90,335,391,101,57,19,1,24,61,68,48,3,67,5,3,0,3,1,0.302
9,Corbin Carroll,ARI,98,370,425,99,55,20,8,16,78,54,46,2,90,6,3,0,21,4,0.268
10,Vladimir Guerrero Jr.,TOR,102,383,440,117,74,22,0,20,63,66,49,3,57,4,3,0,5,2,0.306
11,Ronald Acuña Jr.,ATL,96,352,413,101,62,18,1,20,63,61,53,3,84,5,3,0,20,5,0.287
12,Junior Caminero,TBR,105,413,452,114,69,19,2,24,61,69,33,2,85,3,3,0,3,1,0.277
13,William Contreras,MIL,101,355,405,95,63,19,0,13,51,50,44,2,76,3,3,0,4,1,0.269
14,Elly De La Cruz,CIN,103,399,444,105,60,21,5,19,65,61,39,2,125,2,3,0,25,7,0.263
15,José Ramírez,CLE,101,385,436,100,62,22,2,15,56,55,44,2,54,3,3,0,25,5,0.261
16,Mike Trout,LAA,91,332,395,83,47,14,1,21,56,56,55,2,109,5,2,0,5,1,0.249
17,Cal Raleigh,SEA,80,280,320,65,35,12,0,17,41,48,35,1,86,3,2,0,4,1,0.231
18,Kyle Tucker,LAD,99,368,426,98,58,20,2,18,61,61,52,2,66,2,3,0,14,2,0.266
19,Pete Crow-Armstrong,CHC,99,389,426,97,59,19,4,15,58,54,27,1,105,7,3,1,23,6,0.251
20,Bryce Harper,PHI,102,380,440,104,59,23,0,22,61,68,53,2,93,3,3,0,8,3,0.272
21,James Wood,WSN,100,373,431,100,58,21,1,20,60,61,52,2,122,3,3,0,12,4,0.269
22,Ketel Marte,ARI,94,360,407,97,60,20,2,16,56,55,40,2,69,4,3,0,3,1,0.271
23,Riley Greene,DET,100,384,431,105,64,20,3,18,61,60,41,2,115,3,3,0,4,1,0.273
24,Adley Rutschman,BAL,92,325,373,84,54,18,1,12,48,47,42,1,59,2,3,1,1,1,0.259
25,Ben Rice,NYY,92,345,395,86,48,16,1,21,53,60,42,2,85,6,3,0,4,1,0.248
26,Byron Buxton,MIN,85,332,367,86,45,17,2,21,53,57,27,2,98,6,2,0,11,1,0.258
27,Corey Seager,TEX,72,274,311,73,44,14,0,16,41,46,33,1,61,3,2,0,2,1,0.268
28,Austin Riley,ATL,98,380,422,101,60,19,1,20,57,63,33,2,108,6,3,0,3,1,0.266
29,Alejandro Kirk,TOR,61,213,242,59,41,11,0,8,30,29,24,1,28,2,2,0,1,0,0.278
30,Mookie Betts,LAD,95,363,412,94,59,19,1,15,55,54,42,1,57,4,3,1,7,2,0.259
31,Nick Kurtz,ATH,96,356,417,94,52,19,2,22,61,64,56,2,119,2,3,0,5,1,0.264
32,Kevin McGonigle,DET,101,383,436,101,65,21,2,13,56,50,47,1,68,2,3,0,10,3,0.263
