#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
1,Cristopher Sánchez,PHI,10,5,2.93,21,21,0,0,,132,543,114,47,43,11,33,,6,139
2,Logan Webb,SFG,8,6,3.46,20,20,0,0,,127,526,121,53,49,11,32,,5,117
3,Framber Valdez,DET,9,6,3.67,20,20,0,0,,125,523,116,56,51,11,42,,6,113
4,Paul Skenes,PIT,9,5,2.94,21,21,0,0,,124,499,103,44,41,12,31,,5,143
5,Kevin Gausman,TOR,8,7,3.92,21,21,0,0,,123,517,114,59,54,17,35,,5,118
6,Jesús Luzardo,PHI,9,6,3.35,21,21,0,0,,122,507,103,50,46,14,38,,5,138
7,Bryan Woo,SEA,9,6,3.2,20,20,0,0,,122,491,101,47,43,15,26,,5,124
8,Sandy Alcantara,MIA,7,7,4.22,20,20,0,0,,121,508,119,62,57,14,37,,5,99
9,Gerrit Cole,NYY,8,6,3.83,20,20,0,0,,119,494,105,55,51,17,35,,5,115
10,Zac Gallen,ARI,7,7,4.38,20,20,0,0,,119,504,118,63,58,15,39,,5,104
11,Aaron Nola,PHI,8,7,4.02,20,20,0,0,,117,489,108,57,52,17,33,,5,113
12,Tanner Bibee,CLE,6,7,3.91,20,20,0,0,,116,487,107,55,50,16,34,,5,110
13,Zack Wheeler,PHI,8,5,3.42,19,19,0,0,,115,468,97,48,44,14,31,,5,127
14,Nathan Eovaldi,TEX,7,6,3.69,19,19,0,0,,114,470,105,51,47,13,30,,5,108
15,José Soriano,LAA,7,6,3.61,20,20,0,0,,113,488,102,50,45,9,49,,6,112
16,Luis Severino,ATH,6,6,4.23,19,19,0,0,,113,484,108,58,53,15,41,,5,102
17,Mitch Keller,PIT,7,7,4.27,20,20,0,0,,113,483,115,58,53,14,34,,5,97
18,Freddy Peralta,NYM,8,7,3.91,20,20,0,0,,113,472,96,53,49,15,43,,5,118
19,Robbie Ray,SFG,6,7,4.36,20,20,0,0,,113,481,102,60,55,16,47,,6,112
20,Ranger Suarez,BOS,7,6,4.13,19,19,0,0,,112,474,113,56,51,13,33,,5,100
21,Nick Martinez,TBR,6,3,4.17,24,19,0,0,,112,478,111,57,52,16,29,,5,89
22,Chris Sale,ATL,9,5,2.93,19,19,0,0,,111,456,89,40,36,12,31,,5,136
23,Jacob deGrom,TEX,7,5,3.39,19,19,0,0,,111,447,91,46,42,15,28,,5,125
24,Sonny Gray,BOS,7,6,3.82,19,19,0,0,,111,463,106,51,47,13,30,,5,113
25,George Kirby,SEA,8,6,3.27,20,20,0,0,,111,458,99,44,40,13,23,,5,107
26,Carlos Rodón,NYY,8,6,3.83,20,20,0,0,,111,471,94,52,47,16,43,,5,117
27,Dustin May,STL,6,4,4.17,26,17,0,0,,110,468,105,56,51,13,39,,5,97
28,Andrew Abbott,CIN,6,7,4.82,19,19,0,0,,110,466,107,65,59,19,37,,5,93
29,Joe Ryan,MIN,7,6,3.53,19,19,0,0,,109,446,95,47,43,15,26,,5,118
30,Seth Lugo,KCR,6,7,4.89,19,19,0,0,,109,468,116,65,59,16,35,,5,86
31,Shota Imanaga,CHC,6,7,4.26,19,19,0,0,,108,444,101,56,51,18,26,,5,99
32,Michael Wacha,KCR,6,7,4.64,19,19,0,0,,108,458,111,61,56,16,32,,5,87
33,Chris Bassitt,BAL,7,5,4.46,19,19,0,0,,108,465,108,59,54,15,37,,5,93
34,Drew Rasmussen,TBR,6,6,3.47,21,21,0,0,,107,438,95,45,41,12,28,,5,102
35,Shane McClanahan,TBR,6,6,3.55,19,19,0,0,,107,436,89,46,42,12,37,,5,108
36,Gavin Williams,CLE,6,6,3.59,20,20,0,0,,107,456,92,47,43,12,43,,5,117
37,Michael King,SDP,6,6,3.94,19,19,0,0,,107,452,95,51,47,14,40,,5,109
38,Michael McGreevy,STL,5,5,4.64,24,18,0,0,,107,448,117,60,55,13,24,,5,71
39,Jeffrey Springs,ATH,6,7,4.78,19,19,0,0,,107,452,107,62,57,18,33,,5,90
40,Logan Gilbert,SEA,8,6,3.14,19,19,0,0,,106,431,87,40,37,13,25,,4,116
41,Nolan McLean,NYM,8,6,3.56,19,19,0,0,,106,458,93,46,42,11,42,,5,112
42,Brady Singer,CIN,6,7,4.59,19,19,0,0,,106,454,107,59,54,16,34,,5,91
43,Merrill Kelly,ARI,6,7,4.7,18,18,0,0,,106,447,108,60,55,15,34,,5,85
44,Garrett Crochet,BOS,7,4,3.06,17,17,0,0,,105,426,87,39,36,11,28,,4,127
45,Dylan Cease,TOR,7,5,3.34,19,19,0,0,,105,443,85,43,39,12,41,,5,129
46,Bailey Ober,MIN,6,7,4.69,19,19,0,0,,105,437,105,60,55,18,26,,4,86
47,Hunter Brown,HOU,7,5,3.32,18,18,0,0,,104,433,88,42,39,11,35,,5,115
48,Braxton Ashcraft,PIT,7,3,3.57,23,18,0,0,,104,442,97,45,41,11,32,,5,103
49,Tomoyuki Sugano,COL,4,8,5.98,19,19,0,0,,104,456,128,76,69,19,30,,5,63
50,Jacob Misiorowski,MIL,8,4,2.78,24,19,0,0,,103,444,73,35,32,11,49,,5,145
51,Shane Baz,BAL,7,6,4.24,19,19,0,0,,103,435,95,53,48,14,39,,5,98
52,Reid Detmers,LAA,6,4,3.69,25,17,0,0,,102,432,88,46,42,14,35,,5,115
53,Andre Pallante,STL,5,6,4.33,18,18,0,0,,102,442,105,54,49,10,39,,5,78
54,Bryce Elder,ATL,7,5,4.51,18,18,0,0,,102,443,106,56,51,13,34,,5,84
55,Kyle Leahy,STL,5,2,4.44,31,15,0,0,,102,436,103,55,50,12,36,,5,84
56,Jameson Taillon,CHC,6,7,4.68,19,19,0,0,,102,431,102,58,53,17,27,,4,81
57,Yoshinobu Yamamoto,LAD,8,5,3.33,17,17,0,0,,101,409,84,41,37,11,31,,4,108
58,Spencer Strider,ATL,7,6,3.79,18,18,0,0,,101,424,84,47,43,14,40,,5,119
59,Steven Matz,TBR,5,4,4.23,24,17,0,0,,101,427,98,52,47,14,31,,5,85
60,Emerson Hancock,SEA,6,3,3.94,38,14,0,0,,101,437,96,48,44,14,32,,5,90
61,Michael Lorenzen,COL,4,7,5.48,26,17,0,0,,101,445,115,67,62,16,37,,5,77
62,Kyle Bradish,BAL,7,6,3.75,19,19,0,0,,100,417,87,45,42,12,36,,5,104
63,Foster Griffin,WSN,5,4,4.28,18,18,0,0,,100,424,97,52,48,14,32,,5,92
64,Luis Castillo,SEA,7,6,3.76,30,15,0,0,,100,420,89,46,42,14,30,,4,96
65,Randy Vásquez,SDP,6,4,4.51,19,19,0,0,,100,439,100,55,50,15,35,,5,79
66,Nick Lodolo,CIN,6,5,3.74,18,18,0,0,,99,420,90,45,41,14,29,,4,102
67,Lucas Giolito,SDP,5,7,4.9,18,18,0,0,,99,431,98,59,54,15,41,,5,78
68,Tarik Skubal,DET,7,4,2.7,16,16,0,0,,98,389,78,32,30,10,21,,4,115
69,Jack Flaherty,DET,7,6,3.97,18,18,0,0,,98,421,89,47,43,14,36,,5,105
70,Casey Mize,DET,6,6,4.14,19,19,0,0,,98,416,97,49,45,13,27,,4,87
71,Sean Burke,CHW,5,6,4.37,18,18,0,0,,98,427,92,52,47,15,39,,5,95
72,Slade Cecconi,CLE,5,6,4.33,18,18,0,0,,98,414,98,51,47,14,26,,4,81
73,Matthew Liberatore,STL,5,6,4.3,18,18,0,0,,98,422,97,51,47,13,32,,5,86
74,Noah Cameron,KCR,6,6,4.69,18,18,0,0,,98,419,102,56,51,14,31,,5,81
75,Kyle Freeland,COL,4,7,5.39,18,18,0,0,,98,431,114,64,59,17,28,,4,73
76,Eduardo Rodriguez,ARI,5,5,4.78,22,17,0,0,,98,421,100,57,52,14,36,,5,80
77,Zack Littell,WSN,4,7,5.18,17,17,0,0,,98,412,107,61,56,17,23,,4,65
78,Davis Martin,CHW,5,6,4.15,18,18,0,0,,97,417,96,49,44,12,31,,5,86
79,Will Warren,NYY,6,3,3.72,25,17,0,0,,97,415,86,44,40,13,33,,5,100
80,Matthew Boyd,CHC,6,6,3.91,17,17,0,0,,97,405,88,46,42,14,28,,4,93
81,Bryce Miller,SEA,7,6,3.53,27,16,0,0,,97,406,83,42,38,13,29,,4,95
82,Trevor Rogers,BAL,6,6,4.38,18,18,0,0,,97,415,95,52,47,13,33,,5,82
83,Stephen Kolek,KCR,5,2,4.7,31,15,0,0,,97,423,109,56,51,11,29,,4,67
84,Ryne Nelson,ARI,5,4,4.19,17,17,0,0,,96,404,93,49,45,13,28,,4,83
85,Spencer Arrighetti,HOU,5,3,4.29,23,17,0,0,,96,416,87,50,46,14,43,,5,97
86,Jack Leiter,TEX,6,6,4.06,18,18,0,0,,95,406,84,47,43,13,39,,5,97
87,Michael Soroka,ARI,5,2,4.11,23,16,0,0,,95,405,91,47,43,12,33,,4,92
88,Cade Cavalli,WSN,5,5,3.87,18,18,0,0,,94,408,90,44,40,10,34,,4,91
