#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO
1,Cristopher Sánchez,PHI,9,6,2.93,21,21,131.1,535,116,48,43,11,34,4,134
2,Kevin Gausman,TOR,7,7,3.88,21,21,125.1,528,118,58,54,16,37,3,122
3,Gerrit Cole,NYY,8,7,3.96,20,20,125,527,116,59,55,18,37,5,123
4,Logan Webb,SFG,8,7,3.41,20,20,125,524,122,53,47,10,35,4,113
5,Paul Skenes,PIT,9,6,2.94,21,21,123,498,100,44,40,11,33,5,149
6,Framber Valdez,DET,7,7,3.56,20,20,122.1,517,117,54,48,10,43,6,110
7,Sandy Alcantara,MIA,6,8,4.27,20,20,122,524,126,63,58,14,38,6,98
8,Jesús Luzardo,PHI,8,6,3.4,21,21,122,506,105,50,46,14,40,4,135
9,Bryan Woo,SEA,7,7,3.62,20,20,120.1,496,109,52,48,16,29,5,119
10,George Kirby,SEA,7,7,3.51,20,20,118.2,490,111,51,46,14,25,5,111
11,Zac Gallen,ARI,7,7,4.29,20,20,117.2,510,120,61,56,14,40,4,106
12,José Soriano,LAA,7,7,3.58,20,20,117.1,502,108,52,47,9,53,5,116
13,Nathan Eovaldi,TEX,7,6,3.53,19,19,116.2,484,108,50,46,13,31,5,114
14,Mitch Keller,PIT,6,8,4.38,20,20,116.2,502,118,61,57,14,38,7,99
15,Gavin Williams,CLE,7,7,3.77,20,20,116.1,496,103,53,49,14,49,4,127
16,Carlos Rodón,NYY,7,7,3.96,20,20,116.1,498,102,55,51,16,47,5,125
17,Chris Sale,ATL,8,5,3.09,19,19,115.2,471,94,43,40,12,32,7,142
18,Freddy Peralta,NYM,7,7,3.81,20,20,115.2,491,99,53,49,15,47,5,127
19,Robbie Ray,SFG,6,8,4.36,20,20,115.1,502,107,60,56,16,51,4,115
20,Aaron Nola,PHI,7,7,3.94,20,20,115,485,110,55,50,16,32,4,112
21,Drew Rasmussen,TBR,7,7,3.67,21,21,114.2,479,109,51,47,12,30,4,109
22,Michael Wacha,KCR,6,7,4.39,19,19,114.2,491,116,60,56,16,36,4,95
23,Zack Wheeler,PHI,8,6,3.2,19,19,114.2,469,97,45,41,12,30,5,128
24,Ranger Suarez,BOS,7,7,3.72,19,19,114.1,484,112,52,47,12,36,4,103
25,Tanner Bibee,CLE,6,7,4.07,20,20,114.1,487,109,56,52,16,36,5,108
26,Shota Imanaga,CHC,7,6,3.91,19,19,114,474,108,53,50,18,27,3,107
27,Jacob Misiorowski,MIL,7,6,3.43,24,19,113.2,478,88,47,43,12,51,7,142
