#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,101,353,435,100,50,18,1,31,75,79,76,14,112,4,2,0,6,2,0.282
2,Bobby Witt Jr.,KCR,103,403,444,117,69,25,5,18,63,60,35,3,77,3,3,0,23,6,0.29
3,Juan Soto,NYM,102,355,440,97,56,15,2,25,70,67,80,7,76,2,2,1,14,3,0.274
4,Shohei Ohtani,LAD,102,370,440,104,54,20,3,28,81,77,62,11,105,4,3,0,17,3,0.282
5,Corbin Carroll,ARI,98,369,425,97,52,19,10,17,71,58,47,2,94,6,3,1,21,3,0.263
6,Julio Rodríguez,SEA,103,404,445,109,69,19,1,19,62,62,32,3,98,6,2,0,16,4,0.269
7,Elly De La Cruz,CIN,103,398,444,107,63,22,4,17,69,63,41,3,121,2,2,1,25,7,0.268
8,Fernando Tatis Jr.,SDP,104,390,448,105,70,18,1,15,64,54,50,3,91,4,4,0,19,6,0.269
9,Yordan Alvarez,HOU,90,332,391,98,54,19,1,24,55,61,51,9,68,5,2,0,2,1,0.294
10,José Ramírez,CLE,101,382,436,100,58,23,2,17,59,59,48,11,53,3,3,0,23,4,0.262
11,Gunnar Henderson,BAL,101,390,436,101,59,20,4,19,62,57,40,2,100,4,2,0,13,3,0.26
12,Pete Crow-Armstrong,CHC,99,387,426,96,59,18,4,16,61,60,26,1,106,7,2,4,22,6,0.249
13,Kevin McGonigle,DET,101,380,436,99,61,23,4,11,62,54,51,0,57,3,2,1,10,3,0.261
14,William Contreras,MIL,101,356,405,99,68,19,1,11,55,54,45,3,72,2,2,0,3,1,0.277
15,Cody Bellinger,NYY,94,364,408,99,61,19,3,15,58,63,39,2,58,2,3,0,8,3,0.271
16,Geraldo Perdomo,ARI,102,367,439,95,65,18,4,8,60,47,57,1,58,4,4,7,16,4,0.258
17,Ronald Acuña Jr.,ATL,96,344,413,95,59,17,2,17,73,51,62,2,87,5,3,0,20,5,0.276
18,Wyatt Langford,TEX,84,319,362,84,50,17,2,15,51,49,39,2,81,3,2,0,12,3,0.264
19,Ketel Marte,ARI,94,360,407,97,58,20,2,17,60,57,41,3,66,4,2,0,3,1,0.271
20,Byron Buxton,MIN,85,330,367,83,41,17,3,22,60,52,29,2,102,7,2,0,10,0,0.252
21,Nico Hoerner,CHC,102,399,440,109,80,20,2,7,53,47,31,1,39,7,3,0,18,4,0.273
22,Kyle Tucker,LAD,99,364,426,95,55,20,2,18,64,63,57,3,65,2,3,1,13,2,0.261
23,Adley Rutschman,BAL,92,329,373,85,52,20,1,13,44,46,40,1,59,2,2,0,1,0,0.257
24,Shea Langeliers,ATH,90,326,360,87,48,19,1,20,50,59,29,1,79,3,2,0,2,1,0.267
25,Vladimir Guerrero Jr.,TOR,102,381,440,111,74,21,0,17,61,61,51,7,56,5,3,0,5,1,0.291
26,Matt Chapman,SFG,99,373,426,91,53,22,2,14,56,46,46,1,103,5,2,0,4,2,0.243
27,Michael Harris II,ATL,92,377,399,106,69,18,3,16,49,55,16,1,77,3,2,1,12,3,0.282
28,Junior Caminero,TBR,105,411,452,110,67,18,1,25,59,75,36,1,82,2,3,0,3,1,0.268
29,Brice Turang,MIL,101,385,438,102,71,19,2,11,63,52,47,1,93,1,2,3,20,4,0.266
30,Mookie Betts,LAD,95,361,412,95,60,18,1,15,60,57,46,2,50,3,3,0,5,2,0.263
31,Cal Raleigh,SEA,80,278,320,61,31,11,0,19,40,51,37,4,91,2,2,0,3,1,0.218
32,James Wood,WSN,100,368,431,98,54,23,2,19,63,61,58,5,127,3,2,0,11,3,0.265
33,Zach Neto,LAA,100,379,431,94,53,23,1,18,62,56,36,3,113,12,2,1,16,7,0.248
34,Andy Pages,LAD,93,368,403,98,60,20,1,17,52,63,25,0,88,6,3,1,8,3,0.267
35,Francisco Lindor,NYM,76,292,330,75,47,14,2,12,49,41,30,1,61,6,2,0,11,2,0.257
36,Ben Rice,NYY,92,344,395,89,47,19,2,22,60,62,43,1,87,6,3,0,3,1,0.258
37,Jackson Merrill,SDP,100,393,430,102,63,21,3,15,54,56,29,2,89,2,2,3,8,2,0.259
38,Mike Trout,LAA,91,324,395,76,43,14,1,19,56,50,64,6,114,5,2,0,3,0,0.235
39,Matt Olson,ATL,103,388,445,98,52,24,1,21,60,65,51,3,107,3,3,0,1,0,0.252
40,Riley Greene,DET,100,384,431,105,65,22,2,17,57,62,42,1,119,3,2,0,2,1,0.274
41,JJ Wetherholt,STL,96,360,415,90,65,13,1,10,54,48,43,1,70,10,3,0,10,1,0.249
42,Freddie Freeman,LAD,99,372,426,106,64,26,2,15,57,55,47,5,77,5,2,0,5,1,0.285
43,Xavier Edwards,MIA,94,364,408,106,82,16,3,5,54,35,38,1,54,1,2,3,18,4,0.29
44,Dansby Swanson,CHC,102,393,440,91,59,17,2,14,59,54,41,1,109,2,3,0,10,2,0.231
45,Bo Bichette,NYM,104,415,449,114,80,22,1,12,52,57,29,1,75,2,3,0,4,2,0.275
46,Trea Turner,PHI,99,391,426,105,72,19,2,12,61,46,30,1,81,3,2,0,18,3,0.269
47,Nick Kurtz,ATH,96,355,417,93,52,20,1,20,63,70,58,4,117,2,2,0,3,1,0.262
48,Maikel Garcia,KCR,101,393,435,105,73,23,3,7,55,45,37,0,65,1,3,2,15,5,0.267
49,Jeremy Peña,HOU,94,370,404,99,69,18,1,11,50,44,23,1,71,8,3,1,11,2,0.268
50,Gabriel Moreno,ARI,74,260,293,71,50,14,1,7,35,37,27,1,53,2,3,0,3,2,0.273
51,Pete Alonso,BAL,101,386,436,102,56,23,1,22,54,68,39,4,96,7,3,0,2,1,0.264
52,Otto Lopez,MIA,94,376,408,108,79,18,3,8,49,45,25,1,61,4,3,1,12,4,0.286
53,Xander Bogaerts,SDP,94,367,407,96,70,16,1,10,45,42,34,1,74,3,2,0,12,1,0.261
54,CJ Abrams,WSN,98,378,422,99,61,21,3,15,60,56,29,2,80,10,3,1,19,5,0.263
55,Iván Herrera,STL,96,345,404,93,63,17,1,12,51,50,46,2,78,10,3,0,6,1,0.271
56,Dillon Dingler,DET,78,278,307,67,40,15,1,11,34,44,23,1,75,5,1,0,1,1,0.239
57,Jackson Chourio,MIL,99,397,429,109,66,27,2,14,60,60,26,1,92,2,2,1,16,4,0.274
