#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO
1,Cristopher Sánchez,PHI,9,4,3,21,21,133,545,118,48,45,10,30,4,137
2,Tarik Skubal,DET,7,2,2.56,16,16,96,380,76,30,27,8,17,3,117
3,Paul Skenes,PIT,9,4,2.82,21,21,116,468,94,40,36,10,29,5,134
4,Logan Webb,SFG,10,6,3.23,20,20,125,516,117,49,45,10,28,4,117
5,Garrett Crochet,BOS,9,4,3.05,17,17,101,415,86,37,34,11,28,4,124
6,Zack Wheeler,PHI,8,4,3.3,19,19,116,475,99,46,43,11,31,5,120
7,Chris Sale,ATL,9,5,3.19,19,19,110,454,96,43,39,11,29,8,133
8,Jesús Luzardo,PHI,9,7,3.81,21,21,122,507,109,56,52,15,36,4,137
9,Bryan Woo,SEA,8,5,3.39,20,20,117,470,98,48,44,13,24,5,118
10,Dylan Cease,TOR,7,4,3.47,19,19,105,437,85,44,40,11,41,3,129
11,Kevin Gausman,TOR,8,6,3.65,21,21,121,505,114,53,49,15,31,2,118
12,Hunter Brown,HOU,8,4,3.03,18,18,103,425,84,38,35,9,35,4,114
13,Shane McClanahan,TBR,8,4,3.22,19,19,100,411,85,39,36,10,30,2,105
14,Gerrit Cole,NYY,7,5,3.84,20,20,121,501,107,56,52,16,35,4,117
15,Yoshinobu Yamamoto,LAD,8,5,3.55,17,17,103,413,82,44,41,12,25,3,108
16,Joe Ryan,MIN,7,5,3.59,19,19,103,418,88,45,41,13,24,7,113
17,Ranger Suarez,BOS,8,5,3.58,19,19,107,457,106,46,43,9,33,3,95
18,George Kirby,SEA,8,6,3.7,20,20,112,462,106,50,46,12,23,4,105
19,Jacob Misiorowski,MIL,8,4,3.41,24,19,100,413,74,41,38,10,40,8,132
20,Braxton Ashcraft,PIT,6,5,3.51,23,18,106,445,101,45,41,10,29,6,102
21,Reid Detmers,LAA,6,6,4.06,25,17,99,415,87,49,45,11,33,6,113
22,Framber Valdez,DET,8,6,3.8,20,20,123,524,114,57,52,11,43,7,107
23,José Soriano,LAA,7,7,4.07,20,20,113,487,100,56,51,9,51,7,113
24,Max Fried,NYY,7,4,3.33,14,14,84,346,73,34,31,6,25,3,75
25,Chase Burns,CIN,6,5,3.91,21,16,84,349,75,39,36,11,25,0,99
26,Sonny Gray,BOS,7,6,3.86,19,19,105,446,104,49,45,13,29,4,104
27,Jacob deGrom,TEX,7,5,3.73,19,19,105,425,88,47,43,17,25,1,116
28,Nick Martinez,TBR,8,7,3.88,24,19,115,487,116,54,50,11,30,4,83
29,Mason Miller,SDP,3,0,2.02,45,0,45,174,23,11,10,3,16,1,78
30,Cam Schlittler,NYY,7,4,3.54,16,16,83,345,72,36,33,8,26,3,89
31,Shohei Ohtani,LAD,6,3,3.19,16,16,83,339,60,32,30,9,31,6,100
32,Aaron Nola,PHI,7,7,4.41,20,20,115,482,112,61,56,17,30,3,114
33,Drew Rasmussen,TBR,6,4,3.63,21,21,103,421,92,45,41,12,25,3,89
34,Logan Gilbert,SEA,6,4,3.61,19,19,104,426,90,45,42,14,26,4,112
35,Trey Yesavage,TOR,4,3,3.63,22,18,82,344,66,36,33,7,34,2,88
36,Andrew Abbott,CIN,5,5,4.27,19,19,104,446,103,54,49,13,34,2,89
37,Sandy Alcantara,MIA,6,7,4.23,20,20,123,518,118,63,58,14,34,6,98
38,Davis Martin,CHW,6,6,3.92,18,18,97,407,91,46,42,10,29,5,84
39,Kyle Bradish,BAL,5,5,3.84,19,19,96,408,85,45,41,10,36,4,100
40,Casey Mize,DET,6,5,3.89,19,19,95,401,92,45,41,11,27,3,88
41,Carlos Rodón,NYY,8,7,4.07,20,20,106,451,93,52,48,12,42,4,110
42,Gavin Williams,CLE,7,6,3.54,20,20,110,461,93,47,43,13,42,4,117
43,Spencer Strider,ATL,7,7,4.15,18,18,99,416,86,49,46,14,36,4,121
44,Kris Bubic,KCR,6,5,3.74,20,15,85,365,79,38,35,7,33,2,87
