Player_ID,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Luis Arraez,SFG,152,604,650,188,147,31,3,7,74,66,32,2,26,4,4,6,8,3,0.311
2,Julio Rodríguez,SEA,152,603,663,164,104,29,2,29,96,99,48,5,149,10,2,0,27,7,0.272
3,Francisco Lindor,NYM,151,595,673,155,96,31,2,26,100,90,60,2,124,12,6,0,23,4,0.261
4,Bobby Witt Jr.,KCR,152,594,656,172,100,37,8,27,99,94,49,5,113,6,7,0,32,9,0.29
5,Shohei Ohtani,LAD,152,590,693,168,85,30,5,48,134,131,94,17,168,5,4,0,29,5,0.285
6,Elly De La Cruz,CIN,152,584,650,155,92,32,7,24,101,91,61,5,175,3,1,1,40,9,0.265
7,Jarren Duran,BOS,152,584,648,152,84,40,9,19,88,80,52,1,154,8,3,1,24,5,0.26
8,Steven Kwan,CLE,152,583,654,165,125,26,4,10,85,63,59,1,58,6,3,3,17,5,0.283
9,Jackson Chourio,MIL,152,583,632,160,96,38,4,22,91,94,38,2,129,3,6,2,22,7,0.274
10,Nico Hoerner,CHC,152,582,635,162,120,28,4,10,82,64,39,1,59,10,4,0,26,6,0.278
11,Junior Caminero,TBR,152,579,631,156,92,28,1,35,81,113,43,1,118,4,5,0,6,1,0.269
12,Pete Alonso,BAL,152,579,656,158,87,35,1,35,81,106,56,6,142,13,8,0,2,1,0.273
13,Agustín Ramírez,MIA,150,577,635,141,83,34,1,23,85,81,47,2,129,7,4,0,15,3,0.244
14,Heliot Ramos,SFG,152,576,641,149,98,27,2,22,79,81,48,2,149,12,5,0,6,3,0.259
15,Vladimir Guerrero Jr.,TOR,152,575,659,168,105,34,0,29,91,99,74,9,88,6,4,0,5,2,0.292
16,Corbin Carroll,ARI,152,574,660,147,80,27,13,27,112,92,69,3,145,10,5,2,35,6,0.256
17,CJ Abrams,WSN,152,573,630,146,91,31,5,19,89,73,38,2,119,14,4,1,31,6,0.255
18,Gunnar Henderson,BAL,152,572,647,156,93,31,6,26,96,87,65,3,139,6,4,0,21,4,0.273
19,Rafael Devers,SFG,152,572,663,146,82,33,1,30,89,92,81,11,160,6,4,0,2,1,0.255
20,Jackson Holliday,BAL,151,572,644,141,94,26,3,18,86,67,65,1,143,5,2,0,16,9,0.247
21,Matt Olson,ATL,152,570,656,142,79,33,1,29,84,90,77,4,159,5,4,0,1,0,0.249
22,José Ramírez,CLE,150,567,640,154,90,34,3,27,90,91,63,18,76,4,6,0,28,6,0.272
23,Willy Adames,SFG,152,567,643,134,80,28,1,25,82,83,66,2,158,4,6,0,11,3,0.236
24,Michael Harris II,ATL,152,567,603,157,102,30,5,20,73,79,25,1,116,5,4,2,21,5,0.277
25,Maikel Garcia,KCR,152,567,632,152,106,31,4,11,82,69,54,0,95,1,7,3,25,7,0.268
26,William Contreras,MIL,152,565,647,153,101,31,1,20,87,83,75,4,124,3,4,0,6,2,0.271
27,James Wood,WSN,152,565,650,148,84,34,3,27,88,93,79,5,192,3,3,0,14,6,0.262
28,Fernando Tatis Jr.,SDP,149,564,646,153,94,29,2,28,102,86,74,4,128,6,2,0,24,6,0.271
29,Manny Machado,SDP,147,562,622,147,94,28,0,25,79,88,53,4,124,2,5,0,9,2,0.262
30,Randy Arozarena,SEA,152,562,651,134,83,29,1,21,84,75,64,1,171,21,4,0,26,7,0.238
31,Spencer Torkelson,DET,152,561,639,133,72,30,1,30,84,93,66,3,165,7,5,0,2,0,0.237
32,Pete Crow-Armstrong,CHC,152,559,612,143,84,28,6,25,90,92,32,1,149,9,6,6,31,8,0.256
33,Anthony Volpe,NYY,152,557,614,128,75,31,4,18,72,73,46,0,151,5,4,2,22,7,0.23
34,Riley Greene,DET,148,556,619,148,88,29,3,28,82,96,55,2,169,4,4,0,3,2,0.266
35,Brent Rooker,ATH,152,556,626,153,85,32,2,34,83,111,60,3,157,6,4,0,7,1,0.275
36,Kyle Schwarber,PHI,150,556,666,123,61,20,1,41,96,105,99,5,192,8,3,0,6,2,0.221
37,Bryan Reynolds,PIT,147,556,622,140,91,29,3,17,66,71,54,2,153,9,3,0,5,2,0.252
38,Trea Turner,PHI,137,554,604,156,106,29,4,17,87,71,42,1,111,5,3,0,25,4,0.282
39,Bo Bichette,NYM,139,554,599,161,110,33,1,17,72,80,39,1,99,3,3,0,6,4,0.291
40,Ian Happ,CHC,150,551,637,135,79,33,1,22,80,80,77,2,150,5,4,0,8,3,0.245
41,Jakob Marsee,MIA,148,550,644,130,82,27,6,15,80,75,75,0,131,8,3,8,37,13,0.236
42,Vinnie Pasquantino,KCR,147,550,617,142,83,31,1,27,65,93,54,3,89,6,7,0,2,0,0.258
43,Héctor Rodríguez,CIN,143,549,581,137,96,21,4,16,76,68,25,1,99,3,3,1,9,5,0.25
44,Gleyber Torres,DET,149,548,630,142,99,25,1,17,79,69,71,1,112,4,6,1,6,3,0.259
45,Brice Turang,MIL,152,547,610,144,102,25,3,14,80,70,55,1,125,1,4,3,28,6,0.263
46,Dansby Swanson,CHC,148,546,603,132,86,25,2,19,78,73,51,1,154,3,3,0,14,3,0.242
47,Brandon Nimmo,TEX,143,544,619,136,87,26,3,20,78,72,59,1,137,11,4,1,8,1,0.25
48,Jeremy Peña,HOU,142,543,593,146,101,27,2,16,72,67,34,1,107,11,3,2,16,4,0.269
49,Masyn Winn,STL,140,543,597,137,96,26,3,12,81,60,43,0,113,5,4,2,11,4,0.252
50,Ceddanne Rafaela,BOS,149,543,584,142,90,31,4,17,82,77,27,0,127,8,4,2,21,7,0.262
51,Ozzie Albies,ATL,141,543,600,136,90,27,2,17,73,71,45,1,91,6,6,0,10,3,0.25
52,Cody Bellinger,NYY,143,542,604,147,94,27,3,23,84,92,48,3,87,4,10,0,12,3,0.271
53,Yainer Diaz,HOU,145,541,574,146,98,26,2,20,63,75,25,1,100,3,5,0,1,1,0.27
54,Ryan Ward,LAD,136,538,589,123,70,23,4,26,78,82,46,2,152,3,2,0,7,3,0.229
55,Cal Raleigh,SEA,152,537,621,124,62,22,0,40,83,107,75,9,172,5,4,0,6,2,0.231
56,Eugenio Suárez,CIN,148,537,610,128,67,23,1,37,80,103,54,1,188,11,8,0,3,1,0.238
57,Andy Pages,LAD,149,536,589,138,84,29,2,23,73,81,36,0,132,10,6,1,9,4,0.257
58,A.J. Ewing,NYM,135,535,594,133,95,25,9,4,79,60,49,2,130,4,6,0,39,8,0.249
59,Lawrence Butler,ATH,147,533,590,131,80,28,2,21,79,81,52,0,154,1,3,1,18,5,0.246
60,Mookie Betts,LAD,139,532,614,145,93,29,2,21,90,83,71,3,73,4,7,0,9,2,0.273
61,Konnor Griffin,PIT,133,532,593,136,94,24,3,15,96,81,35,1,151,21,3,2,30,9,0.256
62,Salvador Perez,KCR,141,532,575,134,83,26,1,24,52,82,28,5,121,11,4,0,0,0,0.252
63,Luis Lara,MIL,142,532,601,116,86,25,3,2,64,50,54,0,130,11,4,0,23,9,0.218
64,Juan Soto,NYM,152,531,666,143,81,24,2,36,108,102,127,9,117,3,4,1,22,4,0.269
65,Zach Neto,LAA,146,530,596,134,76,32,1,25,85,83,43,4,148,18,3,2,24,9,0.253
66,Lazaro Montes,SEA,137,530,595,108,62,19,5,22,64,76,56,2,203,5,4,0,3,2,0.204
67,Seiya Suzuki,CHC,143,529,603,138,80,27,4,27,75,89,65,2,151,3,6,0,7,4,0.261
68,Jadher Areinamo,TBR,134,529,570,134,94,26,1,13,61,63,30,1,84,4,7,0,13,6,0.253
69,Wyatt Langford,TEX,145,528,605,141,82,29,3,27,87,88,68,3,135,5,4,0,20,5,0.267
70,Samad Taylor,SDP,142,528,603,132,94,22,5,11,85,61,51,0,142,4,6,14,31,8,0.25
71,Rafael Flores Jr.,PIT,144,528,579,133,88,29,1,15,59,59,45,0,168,4,2,0,3,0,0.252
72,Andrew Vaughn,MIL,143,527,581,132,82,28,1,21,56,84,43,0,113,7,4,0,0,0,0.25
73,Moisés Ballesteros,CHC,143,527,581,140,101,23,2,14,59,74,45,3,100,4,5,0,2,2,0.266
74,Josh Naylor,SEA,144,526,585,145,95,29,0,21,68,90,48,6,84,5,6,0,18,2,0.276
75,Pedro Ramírez,CHC,135,526,575,129,99,19,4,7,60,61,36,1,112,7,6,0,16,7,0.245
76,Nathaniel Lowe,CIN,149,526,593,137,94,21,2,20,66,79,60,2,141,4,3,0,1,1,0.26
77,Ralphy Velazquez,CLE,134,526,571,124,72,27,6,19,70,74,38,1,137,5,2,0,0,2,0.236
78,Leo Balcazar,CIN,136,526,577,125,94,18,1,12,62,62,35,0,95,7,4,5,4,5,0.238
79,Hunter Goodman,COL,143,525,570,132,72,30,3,27,70,88,35,0,147,6,4,0,1,1,0.251
80,Spencer Steer,CIN,145,525,592,125,75,28,2,20,69,78,57,0,127,8,2,0,10,2,0.238
81,Freddie Freeman,LAD,138,523,599,151,92,36,2,21,82,80,63,8,110,8,5,0,8,2,0.289
82,Sung-Mun Song,SDP,134,523,578,127,89,22,3,13,65,59,49,4,107,1,4,1,11,1,0.243
83,Andy Perez,COL,133,523,554,125,90,24,4,7,57,53,17,0,112,3,3,8,12,5,0.239
84,Darell Hernaiz,ATH,142,522,581,136,98,28,3,7,65,62,44,0,83,4,5,6,10,4,0.261
85,Carter Jensen,KCR,140,521,585,129,84,23,4,18,70,73,57,1,155,2,4,1,8,1,0.248
86,Yandy Díaz,TBR,139,521,589,153,107,28,1,17,71,73,58,2,86,6,4,0,2,1,0.294
87,Cristofer Torin,ARI,129,521,580,123,96,21,2,4,65,49,49,0,106,5,3,2,9,5,0.236
88,Teoscar Hernández,LAD,138,520,565,138,84,27,1,26,70,90,35,1,151,6,4,0,6,2,0.265
89,Nick Castellanos,SDP,140,520,562,127,83,26,2,16,62,66,33,1,134,5,4,0,5,1,0.244
90,Marcus Semien,NYM,133,519,582,125,84,22,2,17,80,70,54,1,96,4,5,0,8,2,0.241
91,Taylor Ward,BAL,143,519,595,128,75,26,2,25,74,81,65,0,144,5,6,0,5,2,0.247
92,Nelson Rada,LAA,145,519,600,127,106,16,2,3,68,52,55,0,143,12,3,11,32,12,0.245
93,Ezequiel Tovar,COL,135,518,558,138,85,32,4,17,68,66,29,0,138,3,4,4,7,4,0.266
94,Blake Burke,MIL,141,518,572,125,88,22,1,14,51,66,44,0,187,6,4,0,8,4,0.241
95,Chandler Simpson,TBR,132,517,557,148,128,16,4,0,73,43,30,0,57,0,2,8,52,11,0.286
96,Druw Jones,ARI,133,517,567,117,85,24,4,4,63,48,40,0,163,3,5,2,17,4,0.226
