Player_ID,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,99,352,434,99,50,18,1,31,75,78,76,14,113,4,2,0,6,2,0.281
2,Bobby Witt Jr.,KCR,104,409,452,119,71,26,5,18,65,61,36,4,78,3,3,0,24,6,0.291
3,Shohei Ohtani,LAD,104,397,471,113,59,21,3,30,87,83,66,12,113,4,3,0,18,4,0.283
4,Juan Soto,NYM,98,347,430,95,55,15,2,24,68,65,79,7,74,2,2,1,14,3,0.273
5,Corbin Carroll,ARI,104,390,450,102,54,20,10,18,76,62,50,2,100,6,3,1,22,4,0.261
6,Elly De La Cruz,CIN,104,405,452,109,65,22,4,18,70,64,42,3,122,2,3,1,26,7,0.27
7,William Contreras,MIL,106,400,455,111,76,21,1,13,61,60,51,3,80,2,3,0,4,2,0.277
8,Fernando Tatis Jr.,SDP,103,389,448,103,68,18,2,16,65,54,50,3,92,4,4,0,18,6,0.265
9,Julio Rodríguez,SEA,104,411,452,110,70,20,1,19,63,62,33,3,101,6,2,0,17,5,0.269
10,Pete Crow-Armstrong,CHC,104,383,420,96,58,17,4,16,60,59,24,1,104,7,2,4,22,6,0.25
11,Francisco Lindor,NYM,93,365,411,94,59,18,2,15,61,52,37,1,76,7,2,0,13,3,0.257
12,Gunnar Henderson,BAL,105,406,454,107,63,21,4,19,64,58,42,2,103,4,3,0,14,3,0.263
13,Cal Raleigh,SEA,99,356,409,78,40,14,0,25,51,65,48,5,116,3,3,0,4,1,0.218
14,José Ramírez,CLE,102,382,435,101,59,23,2,18,60,58,48,12,54,3,2,0,23,4,0.263
15,Cody Bellinger,NYY,99,372,417,101,63,20,3,15,59,63,40,2,59,2,3,0,9,2,0.272
16,Nico Hoerner,CHC,104,402,444,110,80,21,2,7,54,47,31,1,40,7,3,0,18,4,0.274
17,Adley Rutschman,BAL,88,325,367,84,51,19,1,13,43,46,38,1,59,2,2,0,1,0,0.258
18,Geraldo Perdomo,ARI,104,346,414,90,61,17,3,8,57,44,54,1,54,4,3,7,15,4,0.259
19,Wyatt Langford,TEX,89,327,371,86,51,17,2,15,52,51,40,2,83,3,2,0,12,3,0.264
20,Brice Turang,MIL,106,384,436,103,71,19,2,11,63,52,47,1,91,1,3,3,20,4,0.269
21,Kyle Tucker,LAD,96,346,407,91,53,19,2,18,62,60,55,3,62,2,3,1,13,2,0.262
22,Shea Langeliers,ATH,95,350,387,94,52,20,1,22,54,64,31,1,84,3,2,0,2,1,0.27
23,Yordan Alvarez,HOU,82,295,346,86,49,17,1,20,48,52,45,8,60,5,2,0,1,1,0.292
24,Junior Caminero,TBR,107,409,450,110,66,18,1,25,60,76,36,1,82,2,3,0,3,1,0.269
25,James Wood,WSN,104,387,453,101,56,24,2,20,65,64,60,5,134,3,2,0,10,4,0.261
26,Vladimir Guerrero Jr.,TOR,104,392,451,114,75,22,0,17,63,63,51,6,58,5,3,0,4,2,0.291
27,Ronald Acuña Jr.,ATL,80,298,358,83,52,15,1,15,64,43,53,2,75,4,2,0,16,4,0.279
28,Ketel Marte,ARI,93,351,398,93,56,18,2,17,57,53,41,3,65,4,2,0,3,1,0.265
29,Byron Buxton,MIN,83,307,341,77,38,16,3,21,56,49,26,2,95,6,2,0,9,0,0.252
30,Michael Harris II,ATL,102,378,401,106,70,18,3,15,49,54,16,1,78,3,2,1,13,3,0.28
31,Zach Neto,LAA,100,370,420,91,51,22,1,18,60,55,35,3,109,12,2,1,16,7,0.247
32,Riley Greene,DET,102,380,427,105,65,22,2,17,57,62,41,1,116,3,2,0,2,2,0.278
33,Alejandro Kirk,TOR,71,237,267,63,45,10,0,8,24,34,27,1,33,2,2,0,1,0,0.265
34,Matt Olson,ATL,104,391,449,99,52,24,1,21,60,66,52,3,108,3,3,0,1,0,0.252
35,Matt Chapman,SFG,95,339,387,83,48,21,2,13,52,43,42,1,95,5,2,0,4,2,0.245
36,Drake Baldwin,ATL,86,310,350,85,53,15,1,16,45,53,34,1,68,4,2,0,0,0,0.275
37,Andy Pages,LAD,103,372,407,98,60,20,1,17,52,62,26,0,89,6,3,1,7,3,0.263
38,Nick Kurtz,ATH,97,354,415,93,52,20,1,20,64,70,57,4,115,2,2,0,4,1,0.264
39,Pete Alonso,BAL,105,401,452,106,57,24,1,24,57,72,41,4,101,8,3,0,2,1,0.264
40,Jackson Merrill,SDP,96,352,385,92,57,19,3,13,49,51,26,2,79,2,2,2,7,2,0.261
41,Corey Seager,TEX,81,304,349,74,44,15,0,16,46,46,40,5,72,3,2,0,2,0,0.245
42,Freddie Freeman,LAD,96,362,414,103,62,25,2,14,54,53,45,5,74,5,2,0,5,1,0.284
43,Bo Bichette,NYM,97,390,422,107,75,21,1,11,49,55,27,1,70,2,3,0,4,2,0.275
44,Mookie Betts,LAD,84,321,367,85,54,17,1,13,54,49,41,2,44,3,2,0,5,2,0.263
45,Ceddanne Rafaela,BOS,103,369,399,98,63,21,3,11,54,51,20,0,87,7,2,1,13,6,0.265
46,Trea Turner,PHI,96,389,423,105,72,20,2,11,61,45,30,1,80,3,2,0,17,3,0.27
47,JJ Wetherholt,STL,88,336,388,84,61,12,1,9,51,46,40,1,65,10,3,0,10,1,0.25
48,Maikel Garcia,KCR,104,392,435,104,72,23,3,7,56,45,37,0,65,1,3,2,15,5,0.266
49,Dansby Swanson,CHC,101,368,412,85,55,15,2,13,55,51,38,1,102,2,3,0,9,2,0.232
50,Xavier Edwards,MIA,93,353,396,102,79,15,3,5,52,34,37,1,52,1,2,3,17,4,0.288
51,Mike Trout,LAA,81,283,343,66,37,12,1,17,49,43,54,5,99,4,1,0,3,0,0.235
52,CJ Abrams,WSN,103,387,431,101,62,21,4,15,61,57,30,2,82,10,3,1,20,5,0.262
53,Jackson Chourio,MIL,94,363,392,100,60,25,2,13,55,56,23,1,83,2,2,1,14,4,0.276
54,Jarren Duran,BOS,103,400,444,99,55,26,5,13,58,55,35,1,109,5,3,1,17,3,0.247
55,Will Smith,LAD,82,287,332,73,48,12,1,12,43,42,37,2,64,5,3,0,1,1,0.254
56,Ben Rice,NYY,89,308,354,79,41,17,1,20,53,55,38,1,79,5,2,0,3,1,0.257
57,Willy Adames,SFG,104,395,439,93,55,21,1,16,54,52,40,1,112,3,2,0,6,2,0.236
58,Kevin McGonigle,DET,73,269,309,70,42,17,2,8,43,38,36,0,41,2,1,1,7,2,0.259
59,Kyle Schwarber,PHI,102,381,456,84,38,14,1,31,66,72,67,3,137,6,2,0,4,1,0.221
60,Manny Machado,SDP,102,385,429,95,60,18,0,17,55,59,39,3,89,1,3,0,5,2,0.246
61,Konnor Griffin,PIT,92,361,401,93,65,16,2,9,63,53,24,1,103,13,3,1,21,5,0.258
