#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,96,339,419,96,48,17,1,29,72,76,73,13,108,4,2,0,6,2,0.282
2,Bobby Witt Jr.,KCR,101,395,435,114,67,25,5,18,62,59,34,3,76,3,3,0,23,6,0.29
3,Shohei Ohtani,LAD,100,382,454,108,56,20,3,29,84,80,64,11,108,5,3,0,17,3,0.282
4,Juan Soto,NYM,94,332,411,91,52,14,1,23,66,62,75,7,71,2,2,1,13,3,0.274
5,Corbin Carroll,ARI,101,376,435,99,53,19,10,17,73,60,48,2,96,6,3,1,21,4,0.263
6,Fernando Tatis Jr.,SDP,100,376,432,101,67,18,1,15,61,52,48,3,87,4,4,0,18,5,0.269
7,William Contreras,MIL,102,385,439,107,73,20,1,12,59,58,49,3,78,2,2,0,4,1,0.277
8,Julio Rodríguez,SEA,100,397,437,107,68,19,1,19,61,61,32,3,96,6,2,0,16,4,0.269
9,Elly De La Cruz,CIN,102,395,441,106,63,22,4,17,68,62,40,3,120,2,2,1,25,7,0.268
10,Pete Crow-Armstrong,CHC,101,369,406,92,56,17,4,15,58,57,25,1,100,7,2,4,21,6,0.249
11,Gunnar Henderson,BAL,100,388,434,101,59,20,4,19,62,57,40,2,99,4,2,0,13,3,0.261
12,Francisco Lindor,NYM,88,346,391,89,56,17,2,14,58,49,36,1,72,7,2,0,13,2,0.257
13,Cal Raleigh,SEA,94,338,388,74,38,13,0,23,49,62,45,5,110,3,3,0,4,1,0.218
14,Cody Bellinger,NYY,96,359,402,97,61,19,3,15,57,62,38,2,57,2,3,0,8,3,0.271
15,José Ramírez,CLE,98,367,419,96,56,22,2,17,57,56,46,11,51,2,3,0,22,4,0.262
16,Yordan Alvarez,HOU,79,284,334,84,47,17,1,20,47,52,43,8,58,5,2,0,1,1,0.296
17,Adley Rutschman,BAL,85,310,352,80,49,19,1,12,41,43,38,1,56,2,2,0,1,0,0.257
18,Nico Hoerner,CHC,100,388,428,106,78,20,2,7,52,46,30,1,38,7,3,0,17,4,0.273
19,Wyatt Langford,TEX,85,311,353,82,48,17,2,15,50,48,38,2,79,3,2,0,12,3,0.264
20,James Wood,WSN,100,373,436,99,55,23,2,20,64,62,58,5,128,3,2,0,11,3,0.265
21,Geraldo Perdomo,ARI,101,334,400,86,59,16,3,8,55,43,52,1,53,4,4,6,14,4,0.258
22,Ketel Marte,ARI,90,340,385,92,55,19,2,16,57,54,39,3,63,4,2,0,3,1,0.271
23,Vladimir Guerrero Jr.,TOR,100,373,431,109,72,20,0,16,60,60,50,6,55,5,3,0,5,1,0.292
24,Michael Harris II,ATL,100,368,390,103,68,18,3,15,48,53,16,1,75,3,2,1,12,3,0.281
25,Junior Caminero,TBR,104,395,434,106,64,17,1,24,57,72,35,1,79,2,2,0,3,1,0.268
26,Brice Turang,MIL,102,370,421,98,68,18,2,10,60,50,45,1,89,1,2,2,19,4,0.266
27,Kyle Tucker,LAD,92,334,392,87,50,18,2,17,59,58,52,3,60,2,2,1,12,2,0.261
28,Shea Langeliers,ATH,92,338,374,91,50,19,1,21,52,61,30,1,82,4,2,0,2,1,0.267
29,Andy Pages,LAD,99,359,393,96,58,20,1,17,51,61,25,0,86,6,3,1,7,3,0.267
30,Byron Buxton,MIN,80,296,329,74,36,15,2,20,54,47,26,2,91,6,2,0,9,0,0.251
31,Ronald Acuña Jr.,ATL,78,291,350,80,50,14,1,14,62,42,52,2,74,4,2,0,16,4,0.276
32,Zach Neto,LAA,98,360,409,89,50,21,1,17,59,53,34,2,107,11,2,1,15,7,0.247
33,Matt Olson,ATL,101,380,436,96,50,24,1,21,58,64,51,3,105,3,3,0,1,0,0.251
34,Alejandro Kirk,TOR,68,225,254,60,43,10,0,7,23,32,25,1,32,2,1,0,1,0,0.265
35,Riley Greene,DET,99,367,412,101,62,21,2,16,54,60,40,1,113,3,2,0,2,1,0.274
36,Freddie Freeman,LAD,92,349,400,99,60,25,1,14,53,52,44,5,72,5,2,0,5,1,0.285
37,Drake Baldwin,ATL,83,298,337,82,51,14,1,15,44,51,33,1,66,4,2,0,0,0,0.275
38,Ceddanne Rafaela,BOS,100,361,390,96,62,20,3,11,53,50,19,0,84,7,2,1,13,5,0.266
39,Matt Chapman,SFG,92,327,374,80,46,20,1,12,49,41,41,1,90,4,2,0,4,1,0.243
40,Pete Alonso,BAL,101,383,432,101,56,23,1,22,54,68,39,4,95,7,3,0,2,1,0.264
41,Bo Bichette,NYM,94,376,407,104,73,20,1,11,47,52,26,1,68,2,3,0,4,2,0.275
42,Jarren Duran,BOS,101,390,433,98,54,25,5,13,57,53,34,1,105,5,2,1,17,3,0.251
43,Mookie Betts,LAD,81,312,356,82,52,16,1,13,52,49,39,2,43,2,2,0,5,2,0.263
44,Corey Seager,TEX,77,288,331,71,42,14,0,15,43,44,38,5,69,3,2,0,1,0,0.245
45,Maikel Garcia,KCR,100,379,419,101,70,22,2,7,53,44,35,0,63,1,3,2,15,5,0.267
46,Nick Kurtz,ATH,94,342,401,90,50,19,1,19,61,67,55,4,113,2,2,0,3,1,0.262
47,Xavier Edwards,MIA,90,341,382,99,76,15,3,4,50,32,36,1,50,1,2,3,16,4,0.29
48,Trea Turner,PHI,93,376,409,101,69,19,2,12,58,44,28,1,78,3,2,0,17,2,0.269
49,Dansby Swanson,CHC,98,354,395,82,53,15,1,13,53,48,37,1,98,2,3,0,9,2,0.232
50,JJ Wetherholt,STL,86,327,378,82,60,12,1,9,49,44,39,1,63,9,2,0,9,1,0.249
51,Jackson Merrill,SDP,93,340,372,88,54,19,3,13,47,48,25,2,77,2,2,2,7,2,0.259
52,CJ Abrams,WSN,99,372,415,98,60,21,3,14,59,55,29,2,79,10,3,1,19,5,0.263
53,Will Smith,LAD,79,276,320,70,46,12,1,11,42,41,37,2,61,5,3,0,1,1,0.255
54,Willy Adames,SFG,100,381,424,91,53,21,1,16,53,50,39,1,108,2,2,0,6,2,0.238
55,Kyle Schwarber,PHI,99,368,439,83,38,14,1,29,64,69,64,3,130,6,2,0,4,1,0.225
56,Mike Trout,LAA,79,276,335,64,36,11,1,16,48,42,54,5,97,4,1,0,3,0,0.233
57,Kevin McGonigle,DET,71,262,301,69,42,16,3,8,43,37,35,0,39,2,1,1,7,2,0.263
58,Ben Rice,NYY,86,299,343,77,40,16,1,19,52,54,37,1,75,5,2,0,3,1,0.258
59,Jackson Chourio,MIL,91,351,379,96,58,23,2,12,53,53,23,1,81,2,2,1,14,4,0.274
60,Otto Lopez,MIA,90,333,361,95,70,16,3,7,44,40,22,1,54,3,3,1,10,4,0.286
61,Konnor Griffin,PIT,88,347,386,89,62,16,2,9,61,50,24,1,99,12,3,1,20,5,0.257
62,Xander Bogaerts,SDP,90,329,364,86,62,14,1,9,40,38,31,1,66,3,2,0,11,1,0.261
63,Oneil Cruz,PIT,94,345,389,85,50,16,2,17,55,53,40,3,123,3,2,0,23,4,0.246
64,Michael Busch,CHC,98,345,399,86,49,18,2,16,52,57,45,1,95,7,3,0,2,0,0.25
65,Ian Happ,CHC,98,362,422,87,50,20,1,16,56,52,54,2,107,3,2,0,5,2,0.239
66,Brandon Nimmo,TEX,96,368,417,93,60,18,2,13,50,45,40,1,90,7,2,1,5,1,0.254
67,Randy Arozarena,SEA,100,368,426,92,57,21,1,13,58,48,42,1,110,14,3,0,19,4,0.25
68,Manny Machado,SDP,98,371,414,90,57,17,0,17,52,57,38,3,85,1,4,0,5,1,0.243
69,Dillon Dingler,DET,77,273,301,66,39,15,1,11,33,44,22,1,74,5,1,0,1,1,0.24
70,Iván Herrera,STL,83,294,344,80,54,15,1,10,44,43,39,2,66,9,2,0,5,1,0.271
71,Luis Arraez,SFG,100,394,427,124,97,20,3,4,49,42,22,2,17,3,3,5,6,2,0.314
72,Masyn Winn,STL,94,361,400,90,63,17,2,7,51,39,30,0,77,5,4,1,8,3,0.248
73,Max Muncy,LAD,74,243,291,55,31,10,1,14,43,37,43,1,74,4,1,0,1,0,0.227
74,Alex Bregman,CHC,90,343,393,85,56,16,1,11,47,43,43,2,59,5,2,0,2,1,0.247
75,Gabriel Moreno,ARI,65,214,241,59,41,11,1,6,29,30,22,1,44,2,2,0,3,1,0.273
76,Yandy Díaz,TBR,95,358,406,106,74,19,1,12,49,53,39,2,57,6,2,0,1,1,0.297
77,Wilyer Abreu,BOS,86,298,335,76,47,16,1,13,42,43,35,2,79,1,2,0,5,2,0.256
78,Trent Grisham,NYY,97,302,357,65,37,12,1,16,49,47,49,0,83,3,2,1,4,1,0.217
79,Colson Montgomery,CHW,88,328,367,72,40,13,2,17,44,56,30,2,112,7,2,0,1,1,0.219
80,Austin Riley,ATL,87,335,371,85,51,17,1,16,49,49,29,1,98,5,2,0,2,1,0.254
81,Seiya Suzuki,CHC,91,335,382,86,51,16,2,17,48,53,42,2,96,3,2,0,4,2,0.256
82,Jazz Chisholm Jr.,NYY,91,324,366,78,48,13,1,16,47,52,37,1,98,3,2,1,20,5,0.242
83,Roman Anthony,BOS,85,312,367,81,52,16,2,10,52,42,50,1,91,3,2,0,5,2,0.258
84,Matt McLain,CIN,95,344,391,82,52,16,2,13,50,47,39,0,103,4,2,1,12,3,0.238
85,Bryce Harper,PHI,88,325,376,88,50,20,0,17,51,53,46,4,78,2,3,0,6,2,0.27
86,Andrés Giménez,TOR,91,313,345,77,54,14,1,8,36,42,18,1,60,10,2,2,12,2,0.246
87,Jeremy Peña,HOU,80,310,339,82,57,15,1,9,41,36,19,1,60,7,2,1,9,2,0.266
88,Daulton Varsho,TOR,84,290,320,69,39,14,2,14,43,43,25,1,75,3,1,1,5,2,0.237
89,Kazuma Okamoto,TOR,82,302,343,73,43,15,0,15,39,53,35,3,76,5,2,0,1,1,0.243
90,Sal Stewart,CIN,94,337,379,88,55,18,0,15,53,56,36,1,74,4,2,0,10,1,0.262
