#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
1,Logan Webb,SFG,15,9,3.06,32,32,200,817,183,74,68,15,41,1,5,190
2,Paul Skenes,PIT,12,7,2.8,32,32,180.1,721,143,61,56,16,47,0,6,205
3,Freddy Peralta,NYM,12,10,3.86,31,31,161,668,133,75,69,21,61,0,7,175
4,Brady Singer,CIN,11,12,4.44,31,31,164.1,703,156,88,81,22,54,0,11,156
5,Tarik Skubal,DET,13,5,2.54,30,30,184.1,719,141,56,52,16,33,0,6,227
6,Dylan Cease,TOR,11,8,3.61,30,30,164.2,688,136,71,66,19,63,2,4,192
7,Andrew Abbott,CIN,9,7,3.92,30,30,165.1,693,158,78,72,20,48,0,4,149
8,Brayan Bello,BOS,11,10,4,31,30,162,694,155,78,72,17,56,0,9,138
9,Zac Gallen,ARI,14,10,3.86,30,30,175,729,159,81,75,23,56,0,6,159
10,Garrett Crochet,BOS,14,6,2.83,29,29,174.2,712,145,59,55,17,46,1,4,215
11,Cristopher Sánchez,PHI,10,6,3.22,29,29,178.2,732,161,69,64,16,42,0,6,175
12,MacKenzie Gore,TEX,10,9,3.96,29,29,157,669,136,75,69,17,59,0,9,177
13,Logan Gilbert,SEA,9,6,3.42,30,29,160.2,648,134,66,61,21,40,1,5,174
14,Brandon Pfaadt,ARI,10,9,4.11,29,29,159.2,672,157,79,73,21,36,1,8,147
15,Mitch Keller,PIT,9,10,4.02,29,29,161,689,158,78,72,20,49,0,10,142
16,Jake Irvin,WSN,7,11,4.89,29,29,156.1,673,160,92,85,26,52,0,7,117
17,Yoshinobu Yamamoto,LAD,13,7,3.36,28,28,169,666,130,68,63,18,43,0,5,182
18,Hunter Brown,HOU,13,6,3.02,30,28,166.2,685,135,61,56,15,55,0,6,180
19,Max Fried,NYY,13,8,3.4,28,28,172,705,149,70,65,15,49,1,6,156
20,Jesús Luzardo,PHI,11,9,3.91,28,28,161,669,143,76,70,21,49,0,4,180
21,Joe Ryan,MIN,11,9,3.78,28,28,154.2,629,134,70,65,22,36,0,9,168
22,Kevin Gausman,TOR,11,9,3.78,28,28,162,676,152,74,68,21,46,1,2,158
23,Tanner Bibee,CLE,11,9,3.65,28,28,165,686,150,72,67,21,46,0,7,154
24,Drew Rasmussen,TBR,8,6,3.61,29,28,137.1,554,122,59,55,16,35,1,4,116
25,Jack Leiter,TEX,10,9,4.04,28,28,149.1,623,126,72,67,18,58,0,5,141
26,Taj Bradley,MIN,7,8,4.2,28,28,148,626,139,75,69,19,51,0,4,138
27,Gavin Williams,CLE,9,7,3.61,28,28,149.2,629,127,65,60,18,60,0,6,154
28,Michael McGreevy,STL,10,9,3.92,29,28,154,645,155,72,67,18,36,0,3,111
29,Shane Smith,CHW,7,7,4.06,28,28,141.2,591,119,69,64,17,53,1,13,136
30,Yusei Kikuchi,LAA,7,8,4.37,29,28,148.1,649,150,78,72,22,57,1,4,151
31,JP Sears,SDP,8,11,4.74,28,28,144.1,610,139,82,76,27,43,0,9,125
32,Bryan Woo,SEA,11,8,3.35,28,27,161.1,640,132,65,60,19,33,1,8,165
33,Ranger Suarez,BOS,12,8,3.53,28,27,155.2,659,152,66,61,14,46,1,4,135
34,Framber Valdez,DET,12,9,3.64,27,27,173,727,156,76,70,15,59,0,8,152
35,George Kirby,SEA,11,7,3.6,27,27,147.2,606,136,64,59,17,28,0,6,145
36,Sonny Gray,BOS,10,8,3.77,27,27,152.2,643,147,69,64,19,42,0,5,157
37,Bailey Ober,MIN,7,8,4.18,27,27,148.2,613,143,75,69,23,34,0,6,131
38,Luis Castillo,SEA,10,8,3.86,28,27,160.2,668,149,75,69,23,46,1,6,148
39,Will Warren,NYY,8,7,4.37,28,27,138,591,128,72,67,18,50,0,6,136
40,Shane Baz,BAL,9,9,4.2,27,27,141.1,597,128,71,66,19,49,0,8,140
41,Merrill Kelly,ARI,10,7,3.8,27,27,154,641,147,70,65,21,45,0,2,132
42,Ryan Pepiot,TBR,10,9,4.05,27,27,144.1,597,122,70,65,21,53,0,8,142
43,Chris Bassitt,BAL,9,10,4.23,31,27,155.1,674,155,79,73,20,54,1,11,139
44,Bryce Elder,ATL,9,9,4.32,27,27,152,649,148,79,73,18,50,1,6,128
45,Noah Cameron,KCR,8,8,4.19,27,27,141.2,599,137,71,66,20,44,0,5,121
46,Robbie Ray,SFG,8,8,3.97,27,27,147.1,620,134,70,65,21,53,0,6,145
47,Lucas Giolito,SDP,7,8,4.65,27,27,137.1,597,138,77,71,21,53,1,4,123
48,Jacob deGrom,TEX,10,7,3.48,26,26,144.2,573,119,61,56,20,35,0,2,155
49,Sandy Alcantara,MIA,10,9,4.04,26,26,160.1,663,148,78,72,17,44,1,6,132
50,David Peterson,NYM,7,7,4.09,27,26,145.1,633,140,71,66,13,57,1,7,132
51,Michael Wacha,KCR,9,10,4.21,26,26,145.1,610,141,74,68,18,43,0,4,115
52,Jack Flaherty,DET,10,9,4.17,27,26,140.1,599,126,70,65,19,52,1,7,156
53,Nick Pivetta,SDP,9,8,3.95,28,26,155,632,132,74,68,25,46,1,4,166
54,Bubba Chandler,PIT,7,8,3.91,28,26,129,553,115,61,56,14,50,0,10,125
55,Zack Littell,WSN,8,8,4.23,29,26,153.1,645,161,78,72,23,31,1,6,115
56,Eury Pérez,MIA,7,7,4.1,26,26,109.2,450,93,54,50,15,38,0,3,114
57,Nolan McLean,NYM,10,8,3.94,28,26,144,619,127,68,63,16,56,0,13,143
58,Brandon Sproat,MIL,7,7,4.21,27,26,124,533,113,63,58,14,46,0,9,111
59,Dean Kremer,BAL,9,9,4.29,27,26,147,623,144,76,70,21,47,0,4,125
60,Kyle Freeland,COL,7,11,4.84,26,26,135.2,595,155,79,73,20,36,1,5,101
61,Mitchell Parker,WSN,8,12,4.7,29,26,141.2,616,146,80,74,17,53,0,2,103
62,Logan Allen,CLE,8,9,4.31,27,26,140,610,140,72,67,19,54,0,5,118
63,Chase Petty,CIN,7,12,5.4,27,26,118.1,526,122,77,71,17,52,0,5,88
64,Kade Morris,ATH,8,10,4.75,27,26,136.1,597,142,78,72,19,43,0,12,94
65,Tanner McDougal,CHW,3,5,4.89,26,26,101.1,453,100,59,55,14,46,0,8,89
66,Pablo López,MIN,10,7,3.69,25,25,141.1,589,131,63,58,16,37,0,6,141
67,Corbin Burnes,ARI,11,6,3.19,25,25,155,634,132,59,55,15,48,0,6,144
