#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO,,,,
1,Tarik Skubal,DET,9,3,2.56,18,18,112,442,88,35,32,9,20,4,136,,,,
2,Cristopher Sánchez,PHI,8,3,3,20,20,124,507,110,45,41,10,28,4,128,,,,
3,Paul Skenes,PIT,9,4,2.85,21,21,116,466,94,40,37,11,28,5,132,,,,
4,Logan Webb,SFG,9,5,3.23,20,20,123,507,115,48,44,9,27,4,115,,,,
5,Garrett Crochet,BOS,9,4,3.05,18,18,106,434,90,39,36,11,29,4,130,,,,
6,Dylan Cease,TOR,8,5,3.47,20,20,110,459,89,46,42,12,43,3,135,,,,
7,Max Fried,NYY,9,5,3.33,18,18,112,463,98,45,41,8,33,4,101,,,,
8,Yoshinobu Yamamoto,LAD,9,5,3.55,18,18,112,449,89,48,44,13,27,3,118,,,,
9,Bryan Woo,SEA,8,5,3.39,19,18,107,428,89,44,40,12,22,5,107,,,,
10,Joe Ryan,MIN,7,5,3.59,19,19,104,425,90,45,42,13,24,7,114,,,,
11,Jesús Luzardo,PHI,8,6,3.81,19,19,108,451,96,50,46,13,32,4,121,,,,
12,Kevin Gausman,TOR,8,5,3.65,19,19,110,461,104,49,45,13,29,1,108,,,,
13,Ranger Suarez,BOS,8,5,3.58,19,18,103,439,102,45,41,9,31,3,91,,,,
14,Hunter Brown,HOU,7,3,3.03,16,15,90,370,73,33,30,8,31,3,99,,,,
15,Cam Schlittler,NYY,8,5,3.54,19,18,93,387,81,40,37,10,29,3,100,,,,
16,Chris Sale,ATL,7,4,3.21,15,15,87,357,76,34,31,9,23,6,104,,,,
17,George Kirby,SEA,7,5,3.7,18,18,102,418,96,45,42,11,20,4,95,,,,
18,Jacob Misiorowski,MIL,7,4,3.41,18,17,88,362,65,36,33,9,35,7,116,,,,
19,MacKenzie Gore,TEX,6,6,4.1,20,20,103,440,91,51,47,11,41,5,118,,,,
20,Shane McClanahan,TBR,6,4,3.22,15,15,80,329,68,31,29,8,24,1,84,,,,
21,Andrew Abbott,CIN,5,6,4.27,21,21,111,475,110,57,52,14,36,2,95,,,,
22,Zack Wheeler,PHI,6,3,3.3,13,13,81,330,69,32,30,8,21,4,83,,,,
23,Chase Burns,CIN,5,5,3.91,19,15,78,326,70,37,34,10,23,0,92,,,,
24,Logan Gilbert,SEA,6,4,3.61,20,19,108,441,93,47,43,15,27,4,116,,,,
25,Jacob deGrom,TEX,7,5,3.73,18,18,99,401,84,45,41,16,23,1,109,,,,
26,Sonny Gray,BOS,7,5,3.86,18,18,98,416,97,46,42,12,27,4,98,,,,
27,Framber Valdez,DET,7,6,3.8,18,18,113,480,105,52,48,10,40,6,98,,,,
28,José Soriano,LAA,6,6,4.07,20,17,100,432,89,49,45,8,45,6,100,,,,
29,Drew Rasmussen,TBR,5,4,3.63,20,19,96,392,86,42,39,11,23,3,83,,,,
30,Reid Detmers,LAA,5,5,4.06,25,13,83,346,72,41,37,9,28,5,94,,,,
31,Freddy Peralta,NYM,8,7,4,20,20,107,451,90,52,48,14,42,4,115,,,,
32,Nick Martinez,TBR,6,6,3.88,25,15,98,415,99,46,42,9,26,4,71,,,,
33,Gavin Williams,CLE,7,5,3.54,19,19,104,437,88,44,41,13,39,4,111,,,,
34,Sandy Alcantara,MIA,6,7,4.23,18,18,111,465,106,57,52,12,31,5,88,,,,
35,David Peterson,NYM,6,5,4.01,19,16,98,423,94,47,43,8,39,5,89,,,,
36,Braxton Ashcraft,PIT,5,4,3.51,21,13,82,343,78,35,32,8,22,5,79,,,,
37,Davis Martin,CHW,5,5,3.95,17,17,89,377,85,43,39,10,27,4,78,,,,
38,Taj Bradley,MIN,5,5,4.12,18,18,97,411,90,48,44,12,34,3,95,,,,
39,Trey Yesavage,TOR,3,2,3.63,17,15,69,289,55,30,28,6,28,1,74,,,,
40,Aaron Nola,PHI,6,6,4.41,17,17,95,400,93,51,47,14,25,2,94,,,,
41,Mitch Keller,PIT,6,7,4,19,19,107,457,106,52,47,12,33,6,92,,,,
42,Kris Bubic,KCR,5,4,3.74,15,13,74,317,69,33,31,6,29,2,75,,,,
43,Clay Holmes,NYM,7,6,3.84,18,16,90,388,90,42,38,7,31,5,76,,,,
44,Casey Mize,DET,5,5,3.89,16,16,83,350,80,39,36,10,24,3,77,,,,
45,Michael Wacha,KCR,6,7,4.26,18,18,101,428,98,52,48,12,31,3,83,,,,
46,Will Warren,NYY,5,5,4.3,19,18,94,399,87,49,45,12,32,4,96,,,,
47,Tanner Bibee,CLE,6,6,3.98,19,19,107,449,101,51,47,15,31,4,99,,,,
48,Shohei Ohtani,LAD,5,2,3.19,12,12,62,251,45,24,22,7,23,5,74,,,,
49,Jack Leiter,TEX,6,6,4.18,19,19,103,434,88,52,48,13,41,4,99,,,,
50,Drew Anderson,DET,5,5,4.1,20,13,83,350,73,41,38,11,31,4,95,,,,
51,Nick Pivetta,SDP,6,5,3.83,16,15,88,364,74,41,38,13,27,2,97,,,,
52,Kyle Bradish,BAL,4,4,3.84,15,15,75,316,66,35,32,8,28,3,78,,,,
53,Tyler Glasnow,LAD,4,2,3.78,14,13,69,285,55,31,29,9,25,1,83,,,,
54,Spencer Strider,ATL,6,6,4.15,15,14,80,339,70,40,37,11,29,3,99,,,,
55,Cole Ragans,KCR,4,5,4.26,15,14,73,310,63,37,34,10,30,2,92,,,,
56,Kyle Harrison,MIL,4,3,3.91,19,16,81,340,70,38,35,10,29,5,90,,,,
57,Bailey Ober,MIN,5,6,4.36,18,18,100,419,99,52,48,15,24,4,85,,,,
58,Bryce Elder,ATL,6,6,4.22,19,19,105,450,103,54,49,11,35,4,90,,,,
59,Matthew Boyd,CHC,6,4,3.88,15,15,82,341,76,38,35,10,23,3,77,,,,
60,Payton Tolle,BOS,3,3,3.99,17,14,68,285,63,33,30,9,20,3,74,,,,
61,Trevor Rogers,BAL,5,5,4.21,16,16,85,363,83,43,40,10,27,3,73,,,,
62,Nolan McLean,NYM,6,5,3.92,19,18,98,414,86,46,43,11,37,9,103,,,,
63,Parker Messick,CLE,5,5,3.81,17,17,86,364,80,40,36,11,28,4,86,,,,
64,Michael King,SDP,6,4,3.76,16,16,85,365,76,39,36,10,35,5,90,,,,
65,Ben Brown,CHC,4,3,3.74,19,9,68,285,60,31,28,7,23,2,74,,,,
66,Shane Baz,BAL,6,6,4.3,18,18,98,420,91,51,47,13,36,5,95,,,,
67,Brandon Woodruff,MIL,4,3,3.83,13,13,64,265,57,30,27,9,17,3,67,,,,
68,Noah Cameron,KCR,5,6,4.12,18,18,95,402,92,47,43,12,29,3,82,,,,
69,Landen Roupp,SFG,6,4,3.55,16,14,74,318,67,32,29,6,29,2,76,,,,
70,Gerrit Cole,NYY,4,3,3.84,11,11,64,266,57,30,27,8,18,2,62,,,,
71,Zebby Matthews,MIN,4,4,4.06,13,13,65,273,65,32,29,9,15,1,67,,,,
72,Seth Lugo,KCR,5,5,4.04,17,16,95,407,94,46,43,12,32,3,79,,,,
73,Carmen Mlodzinski,PIT,5,4,3.54,25,10,75,321,72,32,30,6,25,3,65,,,,
74,Michael McGreevy,STL,6,7,4.07,20,19,105,443,107,51,47,13,25,2,76,,,,
75,Jeffrey Springs,ATH,6,7,4.42,19,18,98,420,97,52,48,15,32,2,85,,,,
76,Jack Flaherty,DET,6,7,4.47,18,18,91,394,84,49,45,13,38,6,102,,,,
77,Shota Imanaga,CHC,6,5,4,17,17,95,393,88,46,42,16,22,2,92,,,,
78,Yusei Kikuchi,LAA,4,5,4.38,18,17,89,392,91,47,44,13,35,2,92,,,,
79,Mason Miller,SDP,2,0,2.02,39,0,42,161,22,10,9,3,15,1,72,,,,
80,Luis Severino,ATH,5,6,4.54,17,17,96,414,94,53,48,12,34,6,83,,,,
81,Blake Snell,LAD,5,3,3.6,11,11,57,241,45,25,23,6,26,1,72,,,,
82,Carlos Rodón,NYY,6,5,4.07,14,14,72,306,63,35,33,8,29,3,75,,,,
83,Luis Castillo,SEA,6,5,3.94,19,18,102,431,96,49,45,14,31,5,96,,,,
84,Emmet Sheehan,LAD,3,3,4.2,16,13,66,272,55,33,31,9,22,4,75,,,,
85,Louis Varland,TOR,5,3,3.31,35,7,68,281,60,27,25,7,19,2,70,,,,
86,Cade Cavalli,WSN,4,4,4.04,16,16,76,321,70,37,34,7,27,9,71,,,,
87,Chad Patrick,MIL,5,5,4.35,22,16,91,388,86,48,44,12,32,3,85,,,,
