Date,Home,Away,Home_Runs_In1,Home_OB_In1,Home_SO_In1,Home_Runs_In2,Home_OB_In2,Home_SO_In2,Home_Runs_In3,Home_OB_In3,Home_SO_In3,Home_Runs_In4,Home_OB_In4,Home_SO_In4,Home_Runs_In5,Home_OB_In5,Home_SO_In5,Home_Runs_In6,Home_OB_In6,Home_SO_In6,Home_Runs_In7,Home_OB_In7,Home_SO_In7,Home_Runs_In8,Home_OB_In8,Home_SO_In8,Home_Runs_In9,Home_OB_In9,Home_SO_In9,Away_Runs_In1,Away_OB_In1,Away_SO_In1,Away_Runs_In2,Away_OB_In2,Away_SO_In2,Away_Runs_In3,Away_OB_In3,Away_SO_In3,Away_Runs_In4,Away_OB_In4,Away_SO_In4,Away_Runs_In5,Away_OB_In5,Away_SO_In5,Away_Runs_In6,Away_OB_In6,Away_SO_In6,Away_Runs_In7,Away_OB_In7,Away_SO_In7,Away_Runs_In8,Away_OB_In8,Away_SO_In8,Away_Runs_In9,Away_OB_In9,Away_SO_In9,Home_Runs_Total,Away_Runs_Total,Runs_Total,Total_After_5,Over_45,Over_85,Over_Then_Under,Under_Then_Over
5/25/25,ATH,PHI,3,4,1,0,2,1,0,1,0,0,1,1,0,0,2,0,0,3,0,2,2,2,3,1,0,0,0,0,0,0,1,3,0,1,2,1,0,0,0,1,2,1,0,0,1,0,0,1,1,2,1,0,1,1,5,4,9,6,1,1,0,0
5/25/25,STL,AZ,1,2,2,0,1,1,1,1,1,0,0,0,0,0,1,1,2,1,1,2,1,0,1,0,0,0,0,2,3,1,0,0,0,0,1,1,0,2,1,0,0,0,1,3,2,0,0,0,0,1,0,0,2,2,4,3,7,4,0,0,0,0
5/25/25,LAA,MIA,0,1,2,0,1,1,0,0,2,0,0,2,0,1,2,0,2,2,0,1,1,0,0,1,0,0,2,0,0,1,0,0,2,1,2,1,1,2,1,1,2,0,0,1,0,0,1,1,0,1,0,0,0,2,0,3,3,3,0,0,0,0
5/25/25,COL,NYY,2,3,1,0,0,1,0,0,3,0,1,2,0,0,0,1,3,1,0,0,2,0,2,3,1,3,0,1,2,1,1,2,1,0,0,1,0,1,1,2,4,0,0,0,2,0,0,1,1,2,1,0,2,1,4,5,9,6,1,1,0,0
5/25/25,MIN,KC,1,3,2,0,0,2,0,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,1,1,0,0,2,0,1,1,0,1,1,0,2,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,1,0,1,1,1,1,2,1,0,0,0,0
5/25/25,NYM,LAD,2,1,2,0,1,0,1,2,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,2,0,0,0,1,2,1,0,0,1,0,0,2,0,3,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,2,3,1,4,4,0,0,0,0
5/25/25,HOU,SEA,0,2,1,0,2,1,2,3,0,0,1,1,0,0,2,1,2,1,0,3,1,0,2,1,2,2,0,2,3,0,0,2,1,1,2,2,0,0,1,0,1,0,0,0,1,0,2,2,0,2,1,0,1,2,5,3,8,5,1,0,1,0
5/25/25,TB,TOR,2,3,0,0,2,1,0,1,0,0,2,1,7,8,0,0,0,1,4,4,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1,1,13,0,13,9,1,1,0,0
5/25/25,PIT,MIL,0,0,2,0,3,1,1,2,1,0,1,0,0,1,2,2,3,1,2,3,0,0,2,2,0,1,2,3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,3,4,0,0,0,0,5,6,11,4,0,1,0,1
5/25/25,CWS,TEX,0,0,1,0,1,2,0,0,1,1,1,1,0,2,1,2,3,0,0,1,1,0,0,3,1,2,1,0,0,0,2,3,1,0,0,0,0,1,0,0,1,1,0,2,0,0,1,1,0,0,2,3,4,2,4,5,9,3,0,1,0,1
5/25/25,WSH,SF,0,0,1,0,1,1,1,1,0,0,0,2,0,0,2,0,1,1,0,0,1,0,0,1,1,2,1,0,0,0,1,2,1,2,3,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,0,0,0,2,3,5,4,0,0,0,0
5/25/25,CIN,CHC,4,5,1,0,0,0,0,0,2,0,0,0,4,5,3,0,1,0,0,1,2,0,2,2,0,1,1,2,3,2,1,1,1,0,1,1,0,2,1,0,1,1,1,2,1,3,4,2,4,4,1,0,0,1,8,11,19,11,1,1,0,0
5/25/25,DET,CLE,0,1,1,0,2,1,0,2,0,5,6,0,0,0,1,0,0,1,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,2,1,0,1,2,0,0,2,0,0,2,5,0,5,5,1,0,1,0
5/25/25,ATL,SD,0,2,1,1,2,1,0,0,2,0,0,2,2,3,2,0,1,2,0,1,0,0,0,1,0,0,0,1,2,1,0,0,3,0,1,1,0,2,2,0,0,1,2,1,1,1,1,2,1,1,0,0,1,2,3,5,8,4,0,0,0,0
5/25/25,BOS,BAL,0,2,0,0,1,1,0,2,1,0,1,0,0,1,1,0,1,2,0,1,1,0,0,0,1,2,2,0,2,1,0,1,0,0,0,0,1,2,1,1,1,1,1,2,1,0,0,1,2,2,0,0,0,0,1,5,6,2,0,0,0,0
5/26/25,SD,MIA,0,2,1,0,0,3,0,0,0,2,3,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,2,4,1,1,2,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,3,3,6,5,1,0,1,0
5/26/25,CHC,COL,1,2,1,0,0,1,0,0,2,0,2,0,1,2,0,0,0,2,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,2,1,0,2,1,0,1,1,0,2,0,0,0,2,3,1,4,3,0,0,0,0
5/26/25,NYM,CWS,0,1,0,0,0,2,0,0,0,0,0,1,0,0,2,0,1,1,0,3,1,1,4,1,1,3,0,0,1,0,0,0,1,0,0,1,1,2,0,0,1,1,0,3,0,0,1,1,0,2,1,0,1,1,2,1,3,1,0,0,0,0
