Date,Home,Away,Home_Score,Away_Score,Total_Score,Home_Win,Over_8,Over_4,F5_Home_Score,F5_Away_Score,F5_Total_Score,F5_Home_Win,F1_Home_Score,F1_Away_Score,F1_Total_Score,Any_Runs,Home_Win_Prob,Over_8_Prob,Over_4_Prob,RIFI_Prob
4/1/25,SEA,DET,1,4,5,0,0,0,0,3,3,0,0,2,2,1,0.63,0.33,0.38,0.46
4/1/25,LAD,ATL,3,1,4,1,0,0,0,1,1,0,0,0,0,0,0.44,0.52,0.52,0.56
4/1/25,HOU,SF,1,3,4,0,0,0,1,3,4,0,0,0,0,0,0.36,0.47,0.48,0.49
4/1/25,TOR,WSH,5,3,8,1,0,0,3,0,3,1,0,0,0,0,0.48,0.59,0.57,0.55
4/1/25,NYY,AZ,5,7,12,0,1,1,4,2,6,1,0,0,0,0,0.51,0.58,0.57,0.56
4/1/25,ATH,CHC,4,7,11,0,1,1,4,6,10,0,2,3,5,1,0.39,0.59,0.57,0.54
4/1/25,MIA,NYM,4,2,6,1,0,1,4,2,6,1,2,0,2,1,0.43,0.44,0.46,0.49
4/1/25,CIN,TEX,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0.3,0.5,0.49,0.51
4/2/25,SEA,DET,3,2,5,1,0,1,3,2,5,1,0,0,0,0,0.35,0.26,0.32,0.42
4/2/25,LAD,ATL,6,5,11,1,1,1,3,5,8,0,0,2,2,1,0.7,0.54,0.56,0.55
4/2/25,TB,PIT,2,4,6,0,0,0,0,2,2,0,0,0,0,0,0.36,0.31,0.36,0.42
4/2/25,CIN,TEX,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0.41,0.56,0.54,0.53
4/2/25,BAL,BOS,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0.27,0.49,0.49,0.51
4/2/25,NYY,AZ,3,4,7,0,0,0,0,4,4,0,0,2,2,1,0.53,0.63,0.6,0.55
4/3/25,MIN,HOU,2,5,7,0,0,1,2,4,6,0,2,0,2,1,0.46,0.45,0.46,0.51
4/3/25,BAL,BOS,4,8,12,0,1,1,3,5,8,0,1,2,3,1,0.45,0.6,0.58,0.53
4/4/25,SF,SEA,10,9,19,1,1,1,6,5,11,1,1,1,2,1,0.42,0.43,0.43,0.46
4/4/25,LAA,CLE,6,8,14,0,1,1,4,4,8,0,1,1,2,1,0.54,0.49,0.49,0.5
4/4/25,TEX,TB,5,2,7,1,0,0,4,0,4,1,0,0,0,0,0.61,0.56,0.56,0.53
4/4/25,KC,BAL,8,2,10,1,1,1,3,2,5,1,1,0,1,1,0.48,0.43,0.45,0.49
4/4/25,COL,ATH,3,6,9,0,1,0,2,2,4,0,1,1,2,1,0.41,0.57,0.55,0.51
4/4/25,WSH,AZ,4,6,10,0,1,1,3,4,7,0,3,1,4,1,0.4,0.63,0.59,0.55
4/4/25,PHI,LAD,3,2,5,1,0,0,1,0,1,1,1,0,1,1,0.44,0.41,0.43,0.48
4/4/25,PIT,NYY,4,9,13,0,1,1,1,7,8,0,0,0,0,0,0.36,0.37,0.38,0.46
4/4/25,BOS,STL,13,9,22,1,1,1,8,5,13,1,5,0,5,1,0.57,0.7,0.65,0.58
4/4/25,ATL,MIA,10,0,10,1,1,0,3,0,3,1,0,0,0,0,0.61,0.35,0.39,0.44
4/5/25,LAA,CLE,10,4,14,1,1,1,10,3,13,1,3,1,4,1,0.36,0.59,0.57,0.51
4/5/25,TEX,TB,6,4,10,1,1,1,4,1,5,1,4,0,4,1,0.66,0.36,0.41,0.45
4/5/25,MIN,HOU,6,1,7,1,0,1,6,1,7,1,0,1,1,1,0.43,0.56,0.54,0.55
4/5/25,PHI,LAD,1,3,4,0,0,0,1,2,3,0,1,0,1,1,0.54,0.61,0.6,0.59
4/5/25,ATL,MIA,0,4,4,0,0,0,0,3,3,0,0,2,2,1,0.63,0.41,0.45,0.47
4/5/25,WSH,AZ,4,3,7,1,0,0,4,0,4,1,3,0,3,1,0.39,0.57,0.55,0.51
4/6/25,MIN,HOU,7,9,16,0,1,1,7,4,11,1,3,1,4,1,0.47,0.63,0.61,0.57
4/6/25,TEX,TB,4,3,7,1,0,0,1,1,2,0,0,0,0,0,0.5,0.47,0.48,0.5
4/6/25,SF,SEA,5,4,9,1,1,1,4,2,6,1,0,1,1,1,0.4,0.35,0.39,0.42
4/6/25,PHI,LAD,8,7,15,1,1,1,6,4,10,1,0,2,2,1,0.56,0.43,0.46,0.49
4/7/25,SEA,HOU,4,3,7,1,0,0,2,0,2,1,0,0,0,0,0.67,0.52,0.53,0.52
4/7/25,AZ,BAL,1,5,6,0,0,1,1,5,6,0,0,1,1,1,0.54,0.48,0.49,0.5
4/7/25,WSH,LAD,6,4,10,1,1,1,3,2,5,1,0,0,0,0,0.52,0.47,0.48,0.49
4/7/25,DET,NYY,6,2,8,1,0,1,5,1,6,1,0,0,0,0,0.41,0.46,0.47,0.5
4/7/25,BOS,TOR,2,6,8,0,0,0,1,3,4,0,0,0,0,0,0.51,0.59,0.57,0.56
