Date,Home,Away,Home_Score,Away_Score,Total_Score,Home_Win,Over_8,Over_4,F5_Home_Score,F5_Away_Score,F5_Total_Score,F5_Home_Win,F1_Home_Score,F1_Away_Score,F1_Total_Score,Any_Runs,Home_Win_Prob,Over_8_Prob,Over_4_Prob,RIFI_Prob
5/26/26,TOR,MIA,8,1,9,1,1,0,2,1,3,1,0,0,0,0,0.57,0.4,0.42,0.47
5/26/26,TEX,HOU,10,7,17,1,1,1,9,4,13,1,8,0,8,1,0.63,0.55,0.55,0.55
5/26/26,SF,AZ,5,7,12,0,1,0,2,3,5,0,1,0,1,1,0.48,0.4,0.43,0.49
5/26/26,SD,PHI,3,4,7,0,0,0,2,4,6,0,0,1,1,1,0.48,0.63,0.59,0.56
5/26/26,PIT,CHC,12,1,13,1,1,1,8,1,9,1,5,0,5,1,0.5,0.36,0.39,0.42
5/26/26,NYM,CIN,2,7,9,0,1,0,0,5,5,0,0,2,2,1,0.51,0.39,0.42,0.44
5/26/26,MIL,STL,6,0,6,1,0,1,6,0,6,1,0,0,0,0,0.58,0.45,0.46,0.48
5/26/26,LAD,COL,15,6,21,1,1,1,10,1,11,1,2,0,2,1,0.62,0.77,0.72,0.63
5/26/26,KC,NYY,1,15,16,0,1,0,1,10,11,0,0,4,4,1,0.24,0.53,0.52,0.53
5/26/26,DET,LAA,6,10,16,0,1,1,5,4,9,1,0,0,0,0,0.63,0.59,0.58,0.53
5/26/26,CLE,WSH,3,6,9,0,1,0,1,4,5,0,0,0,0,0,0.52,0.41,0.42,0.45
5/26/26,CWS,MIN,3,5,8,0,0,0,0,2,2,0,0,0,0,0,0.36,0.33,0.37,0.44
5/26/26,BOS,ATL,6,7,13,0,1,0,2,2,4,0,2,0,2,1,0.49,0.29,0.35,0.44
5/26/26,BAL,TB,6,1,7,1,0,1,6,1,7,1,0,1,1,1,0.37,0.37,0.39,0.48
5/26/26,ATH,SEA,1,4,5,0,0,0,0,4,4,0,0,0,0,0,0.53,0.56,0.55,0.54
5/27/26,TOR,MIA,2,1,3,1,0,0,1,1,2,0,0,1,1,1,0.59,0.42,0.45,0.46
5/27/26,TEX,HOU,3,4,7,0,0,0,2,2,4,0,1,0,1,1,0.62,0.45,0.47,0.51
