Date,Home,Away,Home_Runs_In1,Home_Runs_In2,Home_Runs_In3,Home_Runs_In4,Home_Runs_In5,Home_Runs_In6,Home_Runs_In7,Home_Runs_In8,Home_Runs_In9,Home_SO_In1,Home_SO_In2,Home_SO_In3,Home_SO_In4,Home_SO_In5,Home_SO_In6,Home_SO_In7,Home_SO_In8,Home_SO_In9,Home_OB_In1,Home_OB_In2,Home_OB_In3,Home_OB_In4,Home_OB_In5,Home_OB_In6,Home_OB_In7,Home_OB_In8,Home_OB_In9,Away_Runs_In1,Away_Runs_In2,Away_Runs_In3,Away_Runs_In4,Away_Runs_In5,Away_Runs_In6,Away_Runs_In7,Away_Runs_In8,Away_Runs_In9,Away_SO_In1,Away_SO_In2,Away_SO_In3,Away_SO_In4,Away_SO_In5,Away_SO_In6,Away_SO_In7,Away_SO_In8,Away_SO_In9,Away_OB_In1,Away_OB_In2,Away_OB_In3,Away_OB_In4,Away_OB_In5,Away_OB_In6,Away_OB_In7,Away_OB_In8,Away_OB_In9
4/1/26,TOR,COL,0.6752,0.5428,0.6012,0.567,0.602,0.6294,0.5976,0.5972,0.586,0.7226,0.5976,0.6718,0.6192,0.6534,0.6216,0.6434,0.6376,0.6384,1.5572,1.3876,1.4664,1.4432,1.4538,1.474,1.4538,1.463,1.452,0.4082,0.338,0.397,0.3488,0.3374,0.3638,0.3498,0.3686,0.3604,0.9986,0.9548,0.998,0.9778,0.9968,0.9976,0.9946,0.9982,0.966,1.1544,1.048,1.1212,1.0726,1.081,1.1088,1.0836,1.1116,1.0828
4/1/26,STL,NYM,0.5038,0.3834,0.4636,0.4218,0.4208,0.414,0.4312,0.4198,0.3966,0.9718,1.113,0.9994,1.0844,1.0212,1.0276,1.0454,1.0356,1.0206,1.525,1.2492,1.4078,1.313,1.346,1.3366,1.3526,1.3314,1.3212,0.5816,0.4734,0.5334,0.4956,0.5222,0.495,0.531,0.51,0.532,0.7636,0.8576,0.8346,0.8376,0.8226,0.849,0.8438,0.8256,0.8434,1.533,1.3408,1.4434,1.3882,1.4094,1.413,1.4396,1.4078,1.4314
4/1/26,SEA,NYY,0.562,0.4968,0.5304,0.4864,0.4938,0.5172,0.5234,0.5134,0.488,1.0778,1.158,1.1146,1.1428,1.1296,1.148,1.132,1.1356,1.1546,1.5176,1.4152,1.4566,1.4316,1.435,1.4686,1.4874,1.4804,1.4184,0.5336,0.4426,0.5056,0.4874,0.4886,0.506,0.4752,0.4818,0.495,1.04,1.027,1.0184,0.9796,1.0314,1.0288,1.0278,1.0338,1.0152,1.414,1.2488,1.3424,1.3084,1.32,1.3444,1.313,1.3254,1.3372
4/1/26,SD,SF,0.6526,0.599,0.619,0.5934,0.5938,0.606,0.6136,0.5874,0.591,0.6412,0.6736,0.6812,0.6764,0.6776,0.677,0.677,0.6806,0.6808,1.6188,1.5694,1.5588,1.5358,1.5586,1.5746,1.5682,1.5508,1.5636,0.6116,0.5274,0.5598,0.5214,0.5856,0.5608,0.5638,0.5634,0.5708,1.0892,1.0326,1.1114,1.0254,1.0994,1.035,1.0974,1.0714,1.0712,1.4274,1.3072,1.3224,1.3508,1.3666,1.3624,1.3724,1.3742,1.3818
4/1/26,PHI,WSH,0.5302,0.4916,0.5176,0.485,0.5328,0.531,0.5148,0.5138,0.5248,0.9254,0.9682,0.9536,0.9436,0.9622,0.9454,0.95,0.9542,0.9646,1.5518,1.4694,1.522,1.4626,1.5346,1.5374,1.5108,1.5182,1.5222,0.395,0.3516,0.3528,0.3654,0.3564,0.3798,0.3502,0.3526,0.3356,1.1614,1.0044,1.0564,1.0476,1.0688,1.0524,1.0396,1.053,1.0386,1.2048,1.1446,1.17,1.1648,1.1764,1.213,1.1474,1.1654,1.1424
4/1/26,MIL,TB,0.5602,0.456,0.492,0.4836,0.4944,0.4816,0.51,0.486,0.4746,0.975,0.9444,0.922,0.968,0.949,0.9466,0.9448,0.9784,0.9392,1.5196,1.3594,1.41,1.377,1.4258,1.4104,1.4112,1.4226,1.4048,0.5496,0.4208,0.505,0.4356,0.495,0.4472,0.4604,0.4434,0.4558,1.2506,1.096,1.214,1.1412,1.2068,1.1606,1.1708,1.1568,1.1518,1.513,1.3634,1.5048,1.3936,1.481,1.4078,1.433,1.382,1.4354
4/1/26,LAD,CLE,0.783,0.641,0.7156,0.6728,0.695,0.6928,0.693,0.6958,0.7064,0.9624,1.1856,1.0508,1.0992,1.0936,1.0926,1.0958,1.105,1.0834,1.8456,1.6094,1.7282,1.6568,1.6832,1.6762,1.683,1.6876,1.6946,0.4996,0.4062,0.4754,0.4392,0.4402,0.4504,0.4586,0.4568,0.4298,0.9244,1.2214,0.9868,1.1612,1.0698,1.0902,1.0884,1.108,1.1094,1.3386,1.1618,1.2776,1.2432,1.2132,1.233,1.2412,1.2448,1.1912
4/1/26,KC,MIN,0.4224,0.3778,0.4112,0.3838,0.3754,0.3762,0.3744,0.3778,0.3942,0.8872,1.068,0.9576,1.0552,0.9836,1.0186,1.017,1.004,1.028,1.2484,1.203,1.2232,1.2156,1.1848,1.1936,1.183,1.2126,1.1994,0.549,0.4748,0.5116,0.4598,0.4864,0.482,0.4822,0.4818,0.5078,0.8764,0.814,0.868,0.8448,0.8226,0.8616,0.8332,0.8314,0.8348,1.4868,1.3532,1.4228,1.3592,1.3716,1.3678,1.3822,1.3742,1.4268
4/1/26,HOU,BOS,0.5482,0.4102,0.4858,0.4302,0.463,0.4454,0.4638,0.439,0.4374,1.122,1.275,1.1654,1.2664,1.1832,1.2174,1.211,1.2082,1.2074,1.4738,1.206,1.3612,1.2478,1.31,1.2976,1.2972,1.2724,1.296,0.609,0.5216,0.5664,0.577,0.5198,0.5744,0.5492,0.5722,0.5796,0.994,0.897,0.9676,0.9092,0.9476,0.9176,0.9294,0.9348,0.9388,1.4506,1.3812,1.392,1.439,1.3546,1.4164,1.3908,1.4188,1.4244
4/1/26,CIN,PIT,0.3786,0.3506,0.378,0.392,0.3668,0.381,0.3536,0.376,0.3628,1.1994,1.2252,1.194,1.23,1.2038,1.183,1.195,1.197,1.2078,1.2304,1.1608,1.2152,1.2414,1.1922,1.1908,1.1758,1.2062,1.194,0.5326,0.5158,0.4814,0.5436,0.5218,0.5228,0.5218,0.5264,0.5502,0.8892,0.9058,0.8718,0.9098,0.854,0.9014,0.8836,0.8984,0.8946,1.4444,1.402,1.383,1.4456,1.4092,1.4276,1.4074,1.4234,1.4496
4/1/26,BAL,TEX,0.5482,0.479,0.499,0.4792,0.4948,0.4744,0.484,0.482,0.4824,1.0054,1.0586,1.0112,1.0338,1.0276,1.0254,1.0378,1.0534,1.0466,1.3856,1.2954,1.2936,1.2846,1.2878,1.2662,1.292,1.3082,1.284,0.6092,0.524,0.584,0.5328,0.598,0.5522,0.5286,0.5652,0.5606,0.9174,0.9398,0.9152,0.9326,0.9148,0.9464,0.9322,0.9272,0.9516,1.5308,1.4116,1.4898,1.3972,1.487,1.4198,1.4,1.4424,1.4576
4/1/26,ATL,ATH,0.712,0.6158,0.6604,0.6058,0.6206,0.6076,0.6036,0.6038,0.6214,0.895,0.7704,0.8326,0.7906,0.8178,0.7872,0.8262,0.8184,0.816,1.6976,1.5454,1.6402,1.536,1.5986,1.5586,1.5454,1.5394,1.5592,0.3854,0.3356,0.3366,0.3578,0.3466,0.3474,0.3244,0.3548,0.3454,1.041,1.2282,1.1194,1.2298,1.151,1.1908,1.1608,1.194,1.167,1.2212,1.181,1.1682,1.1792,1.1604,1.1776,1.156,1.192,1.1744
4/1/26,AZ,DET,0.3202,0.2382,0.2976,0.2792,0.2712,0.2676,0.286,0.2848,0.2752,0.9568,1.0552,1.1092,1.0068,1.1112,1.003,1.0778,1.0524,1.0658,1.102,0.9646,1.05,1.041,1.004,1.0194,1.01,1.0264,1.0294,0.5038,0.4656,0.485,0.4666,0.4568,0.5072,0.4638,0.4582,0.4874,0.8378,0.9916,0.865,0.9548,0.9164,0.9038,0.9266,0.9158,0.921,1.4552,1.3132,1.351,1.31,1.3154,1.3862,1.3386,1.3144,1.3752
4/2/26,SF,NYM,0.508,0.443,0.4928,0.4798,0.4738,0.471,0.4606,0.4838,0.4948,0.899,0.8474,0.9072,0.8304,0.8908,0.843,0.8756,0.8498,0.8708,1.4776,1.3696,1.4432,1.4418,1.4106,1.413,1.4098,1.4436,1.4262,0.665,0.5562,0.6144,0.5982,0.5866,0.5708,0.5882,0.5748,0.5696,0.9262,1.02,0.926,0.9968,0.9644,0.9736,0.9684,0.9786,0.995,1.6178,1.4266,1.5158,1.4886,1.4838,1.4436,1.487,1.4608,1.4598
4/2/26,KC,MIN,0.514,0.4502,0.4756,0.4714,0.4772,0.4856,0.4764,0.4618,0.4574,0.8014,0.937,0.8304,0.8888,0.8618,0.8756,0.8556,0.872,0.9012,1.4148,1.3792,1.3694,1.3816,1.4008,1.3958,1.3722,1.3908,1.3722,0.3974,0.359,0.3844,0.3656,0.3826,0.401,0.416,0.3914,0.3928,1.2482,1.292,1.3174,1.3194,1.2968,1.3026,1.2918,1.2974,1.2974,1.3432,1.2146,1.2502,1.2168,1.2528,1.2846,1.301,1.273,1.2684
4/2/26,AZ,ATL,0.4726,0.4094,0.4676,0.4264,0.432,0.4286,0.4264,0.4396,0.4516,0.8308,0.8918,0.8966,0.9134,0.9084,0.876,0.9132,0.8992,0.8974,1.4348,1.2976,1.3688,1.3248,1.328,1.3384,1.3356,1.343,1.3342,0.7074,0.5838,0.6372,0.5906,0.6378,0.604,0.6,0.628,0.6368,0.9268,0.761,0.8194,0.8028,0.8082,0.803,0.7942,0.8042,0.8026,1.5544,1.4202,1.4664,1.4096,1.4888,1.4452,1.4196,1.4612,1.459
4/3/26,WSH,LAD,0.5426,0.4686,0.5068,0.4622,0.4774,0.4826,0.465,0.4936,0.4814,1.1194,0.9634,1.0378,1.0026,1.018,1.01,1.0034,1.0232,0.9936,1.3854,1.3718,1.3784,1.3518,1.3812,1.3706,1.312,1.344,1.375,0.7584,0.7174,0.7602,0.7132,0.7048,0.7284,0.728,0.7432,0.71,0.5892,0.7182,0.6244,0.6822,0.66,0.677,0.6718,0.6676,0.6598,1.7022,1.6072,1.6594,1.6012,1.6048,1.6188,1.6112,1.6292,1.6004
4/3/26,TEX,CIN,0.7046,0.6292,0.6702,0.6352,0.6528,0.6474,0.61,0.6444,0.6264,0.968,0.9268,0.9892,0.9582,0.9562,0.949,0.9436,0.9696,0.9686,1.6362,1.529,1.6028,1.5476,1.5476,1.5398,1.5178,1.5548,1.5456,0.4922,0.4364,0.4672,0.4286,0.4382,0.4322,0.45,0.4374,0.4382,1.333,1.2492,1.2476,1.2728,1.2486,1.2946,1.2378,1.2778,1.253,1.422,1.3434,1.398,1.3264,1.3498,1.3436,1.3808,1.365,1.354
4/3/26,SF,NYM,0.5338,0.4208,0.4858,0.4878,0.4898,0.4814,0.4536,0.4828,0.4988,0.9346,1.092,1.0486,1.026,1.0612,1.0142,1.048,1.0208,1.0348,1.5288,1.343,1.414,1.4198,1.414,1.4122,1.3932,1.417,1.4282,0.5486,0.4748,0.5112,0.4932,0.515,0.519,0.492,0.5192,0.5024,0.8644,0.9258,0.8812,0.9346,0.8792,0.897,0.8996,0.9114,0.915,1.5208,1.3712,1.4138,1.3944,1.446,1.4484,1.4076,1.4286,1.4166
4/3/26,PIT,BAL,0.451,0.4058,0.4438,0.4464,0.4244,0.442,0.4438,0.4368,0.4298,1.2084,1.0898,1.1624,1.1026,1.1562,1.1366,1.161,1.1294,1.1256,1.4248,1.4134,1.4332,1.4596,1.3986,1.4538,1.4538,1.4268,1.4308,0.485,0.4356,0.505,0.437,0.4764,0.443,0.4612,0.439,0.45,0.8862,0.9708,0.954,0.9438,0.9786,0.9534,0.969,0.931,0.9528,1.388,1.293,1.395,1.3088,1.3562,1.308,1.3214,1.3094,1.346
4/3/26,NYY,MIA,0.8586,0.6998,0.7882,0.7518,0.7796,0.7526,0.7876,0.7584,0.7844,1.1662,1.2764,1.2086,1.2566,1.2254,1.2414,1.2506,1.2608,1.2282,1.8122,1.5732,1.6988,1.6284,1.6686,1.6218,1.6954,1.6706,1.6716,0.5056,0.4722,0.5004,0.4776,0.4772,0.4754,0.4604,0.4836,0.492,0.8548,1.1216,0.963,1.0474,1.0174,1.0166,1.031,0.992,1.0266,1.4208,1.3578,1.4014,1.3582,1.3708,1.3626,1.3502,1.3844,1.3984
4/3/26,MIN,TB,0.559,0.538,0.5418,0.5368,0.5354,0.5428,0.5164,0.5286,0.5194,1.186,1.1468,1.1974,1.2028,1.2166,1.2016,1.2162,1.2032,1.204,1.596,1.6028,1.583,1.6058,1.5672,1.5666,1.5416,1.5636,1.5502,0.5452,0.4244,0.5,0.4626,0.4648,0.4468,0.45,0.4816,0.4662,0.7436,0.7646,0.8068,0.7544,0.795,0.7738,0.7758,0.7724,0.7872,1.4746,1.312,1.4018,1.3228,1.3426,1.3294,1.3068,1.3552,1.3462
4/3/26,LAA,SEA,0.4834,0.4282,0.455,0.433,0.4348,0.4446,0.461,0.4544,0.4532,1.1952,1.2346,1.1918,1.2434,1.1932,1.203,1.2194,1.225,1.233,1.3302,1.164,1.262,1.1908,1.2166,1.226,1.2288,1.232,1.2348,0.5412,0.5198,0.5092,0.5182,0.5496,0.5354,0.5316,0.5086,0.5028,1.2754,1.1,1.1764,1.136,1.1592,1.1376,1.1622,1.1376,1.1416,1.4614,1.552,1.466,1.4944,1.508,1.5044,1.5002,1.4734,1.4502
4/3/26,DET,STL,0.558,0.519,0.5262,0.5428,0.5108,0.5092,0.5072,0.522,0.5176,0.7032,0.7866,0.6926,0.7692,0.75,0.736,0.7432,0.7374,0.7512,1.4268,1.3244,1.3592,1.3826,1.3576,1.338,1.358,1.3634,1.379,0.4498,0.3678,0.41,0.3978,0.4022,0.4204,0.435,0.392,0.4216,0.7622,0.7658,0.7736,0.7744,0.758,0.7898,0.7834,0.7842,0.772,1.3752,1.2446,1.3234,1.269,1.2874,1.3272,1.3282,1.2892,1.3216
4/3/26,COL,PHI,0.538,0.4568,0.4816,0.4752,0.4792,0.4888,0.4648,0.4768,0.4612,0.9898,0.9516,0.9798,0.985,0.9732,0.959,0.9714,0.989,1.0086,1.2476,1.2216,1.2326,1.2336,1.2226,1.2186,1.2094,1.2146,1.2092,0.7494,0.6826,0.6898,0.646,0.6678,0.6554,0.6834,0.6818,0.687,0.7738,0.777,0.7698,0.7674,0.7766,0.7564,0.754,0.7692,0.779,1.6738,1.6092,1.6146,1.587,1.5924,1.5966,1.611,1.608,1.6094
4/3/26,CLE,CHC,0.5186,0.4636,0.523,0.4788,0.5006,0.4612,0.4554,0.466,0.4968,0.6844,0.9454,0.7528,0.861,0.8004,0.831,0.8274,0.8142,0.8256,1.4718,1.3156,1.4218,1.3552,1.3818,1.3212,1.3306,1.3774,1.3616,0.5564,0.5178,0.5436,0.5366,0.5306,0.555,0.5164,0.5136,0.5362,0.9184,1.0608,0.9614,1.0262,1.0064,1.0228,1.0196,1.0286,1.0154,1.571,1.4436,1.5516,1.4782,1.4994,1.494,1.4764,1.4662,1.5232
