date,Home,Away,Home_Score,Away_Score,Total_Score,Home_Win,Over_8,RIFI,Over_4,F5_Home_Score,F5_Away_Score,F5_Total_Score,F5_Home_Win,F1_Home_Score,F1_Away_Score,F1_Total_Score,Any_Runs,Home_Win_Prob,Over_8_Prob,Over_4_Prob,RIFI_Prob
4/1/26,TOR,COL,1,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0.7,0.47,0.49,0.51
4/1/26,STL,NYM,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.47,0.47,0.5
4/1/26,SEA,NYY,3,5,8,0,0,1,0,0,1,1,0,0,1,1,1,0.51,0.52,0.52,0.51
4/1/26,SD,SF,7,1,8,1,0,1,0,2,0,2,1,1,0,1,1,0.53,0.64,0.61,0.56
4/1/26,PHI,WSH,6,5,11,1,1,1,0,1,1,2,0,1,0,1,1,0.64,0.4,0.43,0.46
4/1/26,MIL,TB,8,2,10,1,1,0,0,2,2,4,0,0,0,0,0,0.52,0.47,0.48,0.5
4/1/26,MIA,CWS,10,0,10,1,1,1,1,8,0,8,1,4,0,4,1,0.52,0.49,0.5,0.47
4/1/26,LAD,CLE,1,4,5,0,0,0,0,0,2,2,0,0,0,0,0,0.68,0.59,0.58,0.54
4/1/26,KC,MIN,13,9,22,1,1,0,1,5,1,6,1,0,0,0,0,0.42,0.4,0.42,0.45
4/1/26,HOU,BOS,6,4,10,1,1,1,1,5,2,7,1,2,1,3,1,0.38,0.53,0.52,0.52
4/1/26,CIN,PIT,3,8,11,0,1,1,0,1,3,4,0,0,3,3,1,0.36,0.44,0.44,0.44
4/1/26,BAL,TEX,8,3,11,1,1,0,1,7,2,9,1,0,0,0,0,0.43,0.57,0.55,0.53
4/1/26,ATL,ATH,5,1,6,1,0,0,1,5,1,6,1,0,0,0,0,0.73,0.46,0.48,0.49
4/1/26,AZ,DET,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0.29,0.3,0.34,0.43
4/2/26,SF,NYM,7,2,9,1,1,1,1,6,2,8,1,3,1,4,1,0.39,0.56,0.56,0.53
4/2/26,KC,MIN,1,5,6,0,0,0,0,0,1,1,0,0,0,0,0,0.57,0.39,0.43,0.46
4/2/26,AZ,ATL,2,17,19,0,1,1,1,1,10,11,0,0,1,1,1,0.35,0.58,0.56,0.55
